geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_ScmKD_v_toyScmKD_change
CG43085	34.6765305537453	-3.1818519176595	0.82029893853885	-3.87889313050574	0.000104932838609104	0.00603363822002348	depleted in toy-ScmKD
CG43125	15.7132759690499	-2.33299499481885	0.746886060418348	-3.12362904927169	0.0017863551057981	0.0441596875311657	depleted in toy-ScmKD
CG43156	73.6805266425108	-1.72229423693437	0.550588254104839	-3.12809840038183	0.00175941267368252	0.0438975655865176	depleted in toy-ScmKD
CG43886	21.4583898331903	-2.42368517286078	0.778993168587993	-3.11130478493664	0.00186262582775243	0.0449228909079057	depleted in toy-ScmKD
CG4409	31.5087163194905	-2.6199746603289	0.831489720608374	-3.15094052926109	0.00162745624127398	0.04148135456134	depleted in toy-ScmKD
CG44102	10.1724547000365	-4.40056195480919	1.35544009484699	-3.24659272773391	0.00116795393731063	0.0337727720889966	depleted in toy-ScmKD
CG4927	67.9463163884287	-2.03234308512677	0.502759539946832	-4.0423759742912	5.29123013343954e-05	0.00348281299243833	depleted in toy-ScmKD
CG5023	86.9493810148223	-1.66975191906302	0.491313484271068	-3.39854690033662	0.000677448465411956	0.0228051124124817	depleted in toy-ScmKD
CG5084	55.9373384392149	-6.91598793698376	1.50483401414248	-4.59584769614926	4.30993438904103e-06	0.000501405739097157	depleted in toy-ScmKD
CG5321	7.47932584955817	-4.85922876028879	1.55846581354812	-3.11795659426492	0.00182109621645105	0.0443310648311259	depleted in toy-ScmKD
CG5773	54.9118276204362	-6.33183528811787	1.81184507770761	-3.49468912437539	0.000474614218945023	0.0183340357549998	depleted in toy-ScmKD
CG6012	6.13670795751335	-15.3890949277793	4.41164578802669	-3.48828887612547	0.000486122560043637	0.0184929894039414	depleted in toy-ScmKD
CG6321	103.533747595434	-1.04194984540628	0.3103176833723	-3.35768762541389	0.000785973809827856	0.0246509967627827	depleted in toy-ScmKD
CG6356	64.1296440613481	-3.15688461542451	0.683912942824777	-4.61591588307362	3.91365453249472e-06	0.000461034891974185	depleted in toy-ScmKD
CG6933	53.6259260619276	-8.07320545624559	1.72135842117882	-4.69002001960575	2.73178319917779e-06	0.000343054804955841	depleted in toy-ScmKD
CG7017	62.7241130361792	-9.56775415128245	2.13798850554655	-4.47511954646201	7.63685710506454e-06	0.000805395324605738	depleted in toy-ScmKD
CG7252	6.16220258920326	-7.17320554259109	2.05203291408244	-3.49565813168186	0.000472894154267684	0.0183340357549998	depleted in toy-ScmKD
CG7255	103.375495746956	-6.61089316429002	1.82229507495829	-3.62778413613466	0.00028586410526845	0.0129414949014065	depleted in toy-ScmKD
CG7298	30.0269181554043	-5.36155508404148	1.50118620556701	-3.57154566446099	0.000354880655836009	0.0152385448997394	depleted in toy-ScmKD
CG7567	75.9714657058343	-7.43304238315617	1.47839983768005	-5.02776190426287	4.96237477155121e-07	0.000101323590998714	depleted in toy-ScmKD
CG7587	146.975891101639	-4.78222927661466	1.3314712023376	-3.59168810276837	0.000328542911336922	0.0144098171810303	depleted in toy-ScmKD
CG7606	91.6479933062089	-4.79938411245501	1.11922005338207	-4.28815057231344	1.80166949801556e-05	0.00156745246327354	depleted in toy-ScmKD
CG7714	34.5534241853539	-9.50044406330328	2.11476614676059	-4.49243245067834	7.04142562878007e-06	0.000765755037129833	depleted in toy-ScmKD
CG7715	105.488596748257	-4.58193998084138	1.46729929470753	-3.12270304863377	0.00179198449417045	0.0441596875311657	depleted in toy-ScmKD
CG7953	24.2348160024571	-2.89389111156134	0.884312687717157	-3.27247494212923	0.00106610322228833	0.03147790403974	depleted in toy-ScmKD
CG8051	23.3128060901983	-2.15229004970668	0.561147442865431	-3.83551609665415	0.00012530089913888	0.00681323639067662	depleted in toy-ScmKD
CG8112	87.1816118092109	-1.92634904144979	0.517266188684643	-3.72409618797685	0.000196016185970889	0.00966079773713667	depleted in toy-ScmKD
CG8630	68.8336392273048	-1.6954630902586	0.542829203893775	-3.12338223164275	0.00178785398052744	0.0441596875311657	depleted in toy-ScmKD
CG9444	31.9271681401319	-4.92860266112306	1.4840752976207	-3.32099231691592	0.000896980065401546	0.0273606266900685	depleted in toy-ScmKD
CR40469	399.601319399101	2.5634719451643	0.316537740499574	8.09847173710951	5.56538894557737e-16	1.39204291001254e-12	enriched in toy-ScmKD
CR43283	460.596534161358	-3.93553900513675	0.932242790927247	-4.22158159166058	2.42594110243542e-05	0.0019573823169247	depleted in toy-ScmKD
CR44334	60.1138243596907	3.11666764710603	0.891278737563621	3.49684954408951	0.00047078727329638	0.0183340357549998	enriched in toy-ScmKD
CR44974	3.55256550061054	-4.7801857054434	1.5447753055839	-3.09442136222948	0.00197197202868171	0.046642033444351	depleted in toy-ScmKD
CR45169	4.71255699835563	4.86580555023692	1.35512196537751	3.59067720438093	0.000329819903493846	0.0144098171810303	enriched in toy-ScmKD
CR45732	34.7264301132886	-2.02158748269565	0.599782617877452	-3.37053362741616	0.00075022748915628	0.0241364342883379	depleted in toy-ScmKD
CR45822	213.810291331476	-1.50769565299016	0.202287770528918	-7.45322195725438	9.10878476239272e-14	1.82266783095478e-10	depleted in toy-ScmKD
CR45835	156.830571438051	-1.31009384514908	0.247168555299348	-5.30040661346432	1.15545055845292e-07	2.89007070933037e-05	depleted in toy-ScmKD
Cpr100A	62.7365025117881	2.57060396992357	0.759630530576308	3.38401876498214	0.000714331208895891	0.0236547423775687	enriched in toy-ScmKD
Cpr66Cb	69.5624385999834	-2.77050943310007	0.673279625765151	-4.11494619334652	3.87269742448212e-05	0.00287009909125508	depleted in toy-ScmKD
DNaseII	37.3507545551632	-3.22771645792638	0.926817498377205	-3.48258040399312	0.000496606065975073	0.0188202412503053	depleted in toy-ScmKD
Drsl2	7.54564022511896	-7.57257071815031	2.12250107209552	-3.56775825355604	0.000360048450520691	0.0153288712657852	depleted in toy-ScmKD
Fbp1	11099.5834379158	-7.07685235141086	1.49493666029392	-4.73388106625165	2.20266827560944e-06	0.000301886247910581	depleted in toy-ScmKD
Fbp2	1281.54774955959	-4.71024875148902	1.174126937805	-4.01170316413548	6.02822673974898e-05	0.00391639016436289	depleted in toy-ScmKD
Gad1	14.6529831927266	-5.03904562141999	1.44330364026994	-3.49132745239772	0.000480626800573587	0.0184051342775513	depleted in toy-ScmKD
Gbeta5	174.628790333891	1.04803591821047	0.200856628902621	5.21783086740231	1.81030652115235e-07	4.31240874860221e-05	enriched in toy-ScmKD
Gyc32E	155.286770542504	1.15204676495523	0.282952954749958	4.07151346404311	4.67086619408179e-05	0.00323085246486639	enriched in toy-ScmKD
Hsp68	551.690436242008	3.38709877517664	0.80370689045956	4.21434582107402	2.5050320709926e-05	0.00199717954661533	enriched in toy-ScmKD
Hsp70Ab	104.159747283932	2.22106628665839	0.504063920822708	4.40631871258169	1.05142226960282e-05	0.00104543436067164	enriched in toy-ScmKD
Hsp70Ba	23.2429460683068	4.13563842585762	1.2270035326565	3.37051876036888	0.000750267972381119	0.0241364342883379	enriched in toy-ScmKD
Hsp70Bb	34.645284004575	3.7573054634875	0.944936035896513	3.97625375766598	7.00094197081974e-05	0.00450727494024946	enriched in toy-ScmKD
Jon65Aiii	89.3607179499399	-3.33606344390891	1.03083601250498	-3.23626978824899	0.00121102866198673	0.034437352034333	depleted in toy-ScmKD
Kaz-m1	23.9793502772571	-7.3376170954619	1.98599172075361	-3.69468664888369	0.000220158122451383	0.0105391483977325	depleted in toy-ScmKD
Lcp2	194.723665132057	-3.03923971462841	0.9266092802521	-3.27995820827688	0.0010382246476079	0.0308232569712671	depleted in toy-ScmKD
Lcp4	695.281948458105	-4.61251942670694	1.08044699613803	-4.26908440968784	1.96276986786449e-05	0.00165021113680539	depleted in toy-ScmKD
Lsp1alpha	3926.4342847988	-6.37445265574718	1.54659249801658	-4.12161100220134	3.76232110411545e-05	0.00280910616766232	depleted in toy-ScmKD
Lsp1beta	8127.17729218743	-5.07316727996507	1.47622831803138	-3.43657360992125	0.000589122245089529	0.0207541128947913	depleted in toy-ScmKD
Lsp1gamma	6729.66328045449	-5.19882594576314	1.5575268858381	-3.33787236229035	0.000844225201182975	0.0260405628097379	depleted in toy-ScmKD
Lsp2	7567.7935674042	-6.03777057460625	1.48934140862299	-4.05398690968287	5.0352035159402e-05	0.00338102088436119	depleted in toy-ScmKD
Map205	6111.18697002089	1.00127141953517	0.0876017795287984	11.4298068477709	2.96768209363647e-30	2.96916593468329e-26	enriched in toy-ScmKD
MtnA	224.799352429041	-1.07333526920663	0.311353555772037	-3.44731977299943	0.00056617801776664	0.0200162935256369	depleted in toy-ScmKD
Muc26B	22.9384360642505	-7.63752041188126	2.32821491563133	-3.28041898563743	0.0010365302875962	0.0308232569712671	depleted in toy-ScmKD
Muc96D	200.783904596542	-7.18931747855278	1.66861743230439	-4.30854750727626	1.64330181525658e-05	0.00148119231185965	depleted in toy-ScmKD
ND4L	19.2570103277789	1.49788345987215	0.406596321332219	3.6839572354327	0.000229640784758621	0.0109407431024286	enriched in toy-ScmKD
Nha1	8.67030289787433	-4.33977723367602	1.29238005412431	-3.35797292741149	0.000785163027078286	0.0246509967627827	depleted in toy-ScmKD
Oatp58Dc	8.12610172258739	-5.50851037941481	1.48032619975255	-3.72114631243818	0.000198320486290057	0.00972645326143146	depleted in toy-ScmKD
Obp44a	2367.27916457267	-1.3553231052166	0.435887630432579	-3.10934059741857	0.00187505430487949	0.0449228909079057	depleted in toy-ScmKD
Obp56e	13.2013830876894	-19.678311410318	3.69056536279016	-5.33205877037786	9.71054985790856e-08	2.69872364801042e-05	depleted in toy-ScmKD
Obp99b	2545.74769722458	-5.84684465278058	1.31860850278867	-4.43410204045804	9.24568309740845e-06	0.000953639787521356	depleted in toy-ScmKD
Oseg5	85.6264965949608	-4.22926378919176	0.588236631539154	-7.18973209493202	6.49185769257472e-13	8.11887952677626e-10	depleted in toy-ScmKD
Peritrophin-15a	67.8554338473469	-8.32674161909588	1.67377762990214	-4.97481951624763	6.53084594659147e-07	0.000118802024901178	depleted in toy-ScmKD
Peritrophin-15b	23.95174191533	-7.08483865601297	1.73110327095163	-4.0926724447342	4.26429897759505e-05	0.00306937491157111	depleted in toy-ScmKD
Prat2	38.311818794114	-6.04696208959182	1.7425237787042	-3.47023217903434	0.000520008647229137	0.0192230121620666	depleted in toy-ScmKD
Proc-R	177.066934305685	2.24385184204111	0.422824117144411	5.30682085306582	1.1155371649718e-07	2.86178188090841e-05	enriched in toy-ScmKD
Sgs3	1349.2170584931	-5.30506152709013	1.34124178177699	-3.95533571886012	7.64272516079686e-05	0.00485331022288787	depleted in toy-ScmKD
Sgs5	1178.40239596797	-5.24277263159744	1.06770596708068	-4.9103150054806	9.0930203881991e-07	0.000142149482787394	depleted in toy-ScmKD
Sgs7	1191.28244274277	-4.8946059185782	1.02584362220582	-4.77129828818703	1.83042230473738e-06	0.000258898169950171	depleted in toy-ScmKD
Sgs8	408.137649172666	-4.83667318781609	1.18500220947037	-4.08157313898832	4.47318963126017e-05	0.0031296686895635	depleted in toy-ScmKD
SmydA-4	32.309961745621	-1.92087917016494	0.5141071324043	-3.73634024718089	0.000186717979987104	0.00937722488858558	depleted in toy-ScmKD
SmydA-9	38.8419001479031	-3.42406889608177	1.00446535882727	-3.40884717027916	0.000652380166215006	0.0222766674504475	depleted in toy-ScmKD
TpnC25D	21.8613743385016	-5.26584134494724	1.51259769550562	-3.48132313079256	0.000498943177680597	0.0188374584629976	depleted in toy-ScmKD
TrpA1	150.510901306906	1.86633831775037	0.288236375590847	6.47502701185658	9.47949813606982e-11	6.32282525675857e-08	enriched in toy-ScmKD
Uhg3	217.889327006111	-1.05993234431314	0.18940275185823	-5.59618238866196	2.19123183081882e-08	8.11973128420086e-06	depleted in toy-ScmKD
Uhg8	65.9991647086831	-1.36933079461641	0.414100054090306	-3.30676313874083	0.00094380659867778	0.0285280514192483	depleted in toy-ScmKD
cn	102.291246746381	-4.88771474111353	0.790407607655453	-6.18379010244058	6.25805659007353e-10	3.4784364546492e-07	depleted in toy-ScmKD
dib	214.237274222366	-1.90768699421824	0.491626407008688	-3.8803590836904	0.000104302361551591	0.00603205275909637	depleted in toy-ScmKD
dpr18	51.1943255938801	2.59445079999711	0.446723888970737	5.80772791438307	6.33263160419235e-09	3.01704662856878e-06	enriched in toy-ScmKD
euc	77.5158708432432	1.33292623555815	0.422652544970308	3.15371633607882	0.00161205695793454	0.0412496927471484	enriched in toy-ScmKD
fon	367.034852036983	-6.19315485805234	1.72883762580459	-3.58226519692391	0.000340627737153588	0.0147735453359593	depleted in toy-ScmKD
igl	15.7362168454238	-3.99045170073684	1.24680170273657	-3.20055040988339	0.00137165373442818	0.0375983441450793	depleted in toy-ScmKD
