geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_toyPcKD_change
MRE16	5179.56365355398	-1.26754938338104	0.270177144940542	-4.69154925617411	2.71143973624825e-06	0.00061654442184463	depleted in toy-PcKD
Map205	6111.18697002089	1.03355431823597	0.0881769788379243	11.7213623312692	9.90659346725434e-32	3.30384892132932e-28	enriched in toy-PcKD
Mlp84B	179.728421586361	-1.96497100920759	0.523217744074957	-3.75555116671672	0.000172960419330763	0.0198904482230378	depleted in toy-PcKD
Mtk	10.6517784414816	-7.84831290345115	2.19420661336869	-3.57683403907068	0.000347780817312466	0.0321100445186308	depleted in toy-PcKD
ND4	1391.31870568362	1.21311540653082	0.330713973442562	3.66817099955866	0.000244291784435848	0.0257277821397964	enriched in toy-PcKD
Nplp2	248.04445250208	-3.08772763512547	0.84025534451728	-3.67474917627491	0.000238083190501528	0.0257277821397964	depleted in toy-PcKD
Oseg5	85.6264965949608	-2.20115296271002	0.400503737327012	-5.49596110488421	3.88588156956656e-08	1.34062914150046e-05	depleted in toy-PcKD
PPO1	3368.47880141179	-3.50151184678693	0.647676038975645	-5.40627047485789	6.43505981829423e-08	2.07686366071077e-05	depleted in toy-PcKD
PPO2	5047.49657173368	-3.37786141626286	0.660000618896556	-5.11796704359195	3.08846551403718e-07	8.25083886230334e-05	depleted in toy-PcKD
Pkg21D	38.9777887661701	-2.93940380952697	0.73545492754963	-3.99671509350057	6.42275234490747e-05	0.00880269002887661	depleted in toy-PcKD
Proc-R	177.066934305685	2.20058773957986	0.415418602313665	5.2972777996068	1.17541803848399e-07	3.45884043383305e-05	enriched in toy-PcKD
TrpA1	150.510901306906	2.11178433405619	0.283227277995491	7.45614740572346	8.90890712809055e-14	8.10305598332236e-11	enriched in toy-PcKD
dib	214.237274222366	-2.03355430859926	0.494037445996909	-4.1161946833722	3.85178988211748e-05	0.00566722908390962	depleted in toy-PcKD
dpr1	165.63650284165	-1.42839562606146	0.266879953544754	-5.35220276790828	8.6889954033068e-08	2.71666871906514e-05	depleted in toy-PcKD
dpr18	51.1943255938801	1.80003709162283	0.444067287132775	4.0535232920335	5.04519740631431e-05	0.00701072222919093	enriched in toy-PcKD
krimp	761.693962575383	1.09487012010924	0.248772602575188	4.40108801682989	1.07709418781477e-05	0.00211300536256603	enriched in toy-PcKD
l(3)mbn	6.69549199612862	-21.7735050537645	2.28367626896149	-9.53440964890621	1.50740764835683e-21	2.51360225363502e-18	depleted in toy-PcKD
mei-218	16.8028025868573	2.41481848699981	0.588604920799757	4.10261348770024	4.08509366717419e-05	0.00583876602001111	enriched in toy-PcKD
ppk13	209.733651258555	1.56691669895894	0.408559460378354	3.83522314599658	0.000125450345583682	0.0154954408341325	enriched in toy-PcKD
pst	2006.53983080858	-1.16535635313357	0.13520752317896	-8.61902004958043	6.75295316784764e-18	8.44541205553946e-15	depleted in toy-PcKD
rpk	188.303413827271	1.4550308873872	0.249192256398266	5.83898917413281	5.25184817729468e-09	2.38839731881061e-06	enriched in toy-PcKD
stops	79.4874661350785	1.11428342240747	0.21783684432797	5.11522018162285	3.13375189172941e-07	8.25083886230334e-05	enriched in toy-PcKD
trk	19.0568143366923	7.60249556718641	1.27836585256833	5.94704211780409	2.73031177332045e-09	1.30079853771767e-06	enriched in toy-PcKD
wupA	427.103659194509	-1.57301723312095	0.427795101513516	-3.67703423334137	0.000235961384244029	0.0257277821397964	depleted in toy-PcKD
