geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_SfmbtKD_v_toySfmbtKD_change
CG16886	48.7856375436178	-3.14839766512987	0.510623735478317	-6.16578793028622	7.01330264415575e-10	2.01529314215887e-07	depleted in toy-SfmbtKD
CG17104	286.030500864131	1.10765353906913	0.256717448384995	4.31467960607023	1.59834542058019e-05	0.000958026672335488	enriched in toy-SfmbtKD
CG17109	70.0301909967192	-4.05197895489632	1.24118914773556	-3.26459425002933	0.00109620985522802	0.0195081425966808	depleted in toy-SfmbtKD
CG17129	132.565480834386	1.22891540528179	0.282413692922863	4.3514724536301	1.35226313039318e-05	0.000857896804152037	enriched in toy-SfmbtKD
CG17928	69.3831012381817	-2.38676592137047	0.666360058275693	-3.58179619520802	0.000341239961324663	0.00863590702600398	depleted in toy-SfmbtKD
CG18853	105.304593862349	1.1429312484943	0.382763221687181	2.98600070157309	0.00282651994691757	0.0368201331751795	enriched in toy-SfmbtKD
CG2003	121.617719754593	-1.13917909153444	0.303633426897481	-3.75182371445248	0.000175552891082157	0.00544492617737358	depleted in toy-SfmbtKD
CG2254	95.5220741067644	-2.60813642404925	0.687747156785185	-3.79228964935422	0.000149264670644409	0.00483429116010476	depleted in toy-SfmbtKD
CG30098	5.7256586578014	-3.36893647536332	1.17526734515957	-2.86652776429001	0.00415001755313571	0.0461059247040849	depleted in toy-SfmbtKD
CG30148	30.4443475179105	-2.73034761266208	0.852306442689731	-3.20348113765933	0.00135776933995146	0.0225986481283233	depleted in toy-SfmbtKD
CG30196	40.0606234975506	1.19324616996879	0.41315584453877	2.8881260806098	0.00387544496740816	0.0442811292261793	enriched in toy-SfmbtKD
CG31103	88.2510633776308	1.19202445105169	0.414659234551579	2.87470856000776	0.00404400587892976	0.0453418005491592	enriched in toy-SfmbtKD
CG31145	158.951130400419	-1.76226086243733	0.419622819343231	-4.19963067117159	2.67350705648451e-05	0.00140530247948493	depleted in toy-SfmbtKD
CG31789	12.1022951441564	-5.46179811061663	1.84498657817314	-2.96034571483158	0.00307293995068637	0.0384905427156485	depleted in toy-SfmbtKD
CG32073	48.2720486115911	4.39980436816338	1.22293288546492	3.59774802072699	0.000320984360691313	0.00825267685251085	enriched in toy-SfmbtKD
CG32115	10.5682555614857	-6.01168368901478	1.79092898970902	-3.35674039761426	0.000788671256597517	0.0154862670505183	depleted in toy-SfmbtKD
CG32170	25.049134293976	1.96465913829993	0.647121919921306	3.03599534773733	0.00239743063466207	0.0328051782922247	enriched in toy-SfmbtKD
CG32335	19.0675332588022	-3.5189893638287	0.673054791751986	-5.22838468272196	1.70997436088962e-07	2.42122456607125e-05	depleted in toy-SfmbtKD
CG32368	15.6026438978662	-3.80583668652352	0.650802797887964	-5.84791076325196	4.97785458429239e-09	1.13101486717527e-06	depleted in toy-SfmbtKD
CG32407	12.3031000359591	-1.793240893503	0.629088891524339	-2.85053657386608	0.00436455305275244	0.0472745934871301	depleted in toy-SfmbtKD
CG33288	32.9759075127692	2.39779079692396	0.62830924372188	3.81625898533706	0.000135490292427035	0.00451337540392372	enriched in toy-SfmbtKD
CG33474	38.311035841231	1.74789535550802	0.551900057983453	3.16705050166967	0.00153993573055583	0.0246642165369351	enriched in toy-SfmbtKD
CG34282	96.3178290108215	6.12610036464486	1.68960497880542	3.62575894454106	0.000288114024707189	0.00764911418855769	enriched in toy-SfmbtKD
CG3788	393.817805118741	1.1759768264235	0.165895729829332	7.08865036871838	1.35426181863476e-12	6.9637568252956e-10	enriched in toy-SfmbtKD
CG42260	27.0476403178682	1.77672353193478	0.559875491364095	3.17342616231678	0.00150651215751154	0.0243685824153771	enriched in toy-SfmbtKD
CG42460	60.7328463967196	-3.01030704823828	1.06069674090043	-2.83804685369621	0.00453905192022154	0.048413250284459	depleted in toy-SfmbtKD
CG42500	81.5658771364242	-2.2034641703531	0.741037809326022	-2.97348413619699	0.00294439626367902	0.0377416967707213	depleted in toy-SfmbtKD
CG43156	73.6805266425108	-2.15617096016077	0.543396866578292	-3.96794882852	7.24938944465301e-05	0.0028330613949704	depleted in toy-SfmbtKD
CG43799	6.46563090240188	4.1144206104515	1.34997342646256	3.04777896349621	0.00230539433947836	0.032176718138148	enriched in toy-SfmbtKD
CG43897	260.350446699366	1.00809338636206	0.328141734248269	3.07212792871797	0.00212538615543752	0.0305367981450362	enriched in toy-SfmbtKD
CG4408	1227.80864860686	-2.57150138385153	0.677015576864659	-3.79828983516224	0.000145697893752106	0.00477673967100024	depleted in toy-SfmbtKD
CG4757	14.3647556486208	6.60489712725314	2.16535540881952	3.05026006370654	0.00228643288603711	0.0320035090208919	enriched in toy-SfmbtKD
CG4822	252.303089604133	-1.41241082232527	0.382840648098582	-3.68929169183095	0.000224879269860064	0.00646809815193624	depleted in toy-SfmbtKD
CG5002	53.33936351287	-1.3242592830718	0.455895673181268	-2.90474194201283	0.00367556007116331	0.0431425524046293	depleted in toy-SfmbtKD
CG5506	14.4828151797541	5.92942620110194	1.96809435836997	3.01277536612261	0.00258870459125665	0.034794587866707	enriched in toy-SfmbtKD
CG6012	6.13670795751335	-18.1161198158237	4.34237653727576	-4.1719366481261	3.02021618320536e-05	0.00155302695315349	depleted in toy-SfmbtKD
CG6201	50.701882247242	-1.46942293783905	0.386117922052919	-3.80563256433786	0.000141442232031477	0.00466854934779569	depleted in toy-SfmbtKD
CG6426	115.098488516974	-1.04164125511423	0.364426677153561	-2.85830132758175	0.00425915724633482	0.046755018310889	depleted in toy-SfmbtKD
CG7017	62.7241130361792	7.71552486221835	1.97781847051361	3.90102781283802	9.57851441787229e-05	0.00345342858782998	enriched in toy-SfmbtKD
CG7299	18.6249564465271	8.09424339593436	1.912054376381	4.23327050523248	2.30317198550027e-05	0.00126415675833357	enriched in toy-SfmbtKD
CG7386	61.2821711562736	-4.90384738025972	0.577024051009041	-8.49851470087663	1.92031934012375e-17	1.8761519953009e-14	depleted in toy-SfmbtKD
CG7470	195.893859125467	-1.58096526168098	0.508422514410084	-3.10955006293409	0.00187372528378159	0.0281202703879357	depleted in toy-SfmbtKD
CG7606	91.6479933062089	-3.04274029505413	1.07048394330374	-2.84239694961102	0.00447757036791782	0.0479811695290803	depleted in toy-SfmbtKD
CG7715	105.488596748257	6.48352284542018	1.581599324896	4.09934598691517	4.14319270789823e-05	0.00195550689643313	enriched in toy-SfmbtKD
CG8051	23.3128060901983	-1.33925069844558	0.425410291320767	-3.14813892792208	0.0016431357981319	0.0259344697055713	depleted in toy-SfmbtKD
CG8112	87.1816118092109	-2.01434232974164	0.454797129846909	-4.42910079582009	9.46267930460412e-06	0.000651058991591425	depleted in toy-SfmbtKD
CG8157	27.9643299721386	-3.85556968832479	1.02890694855961	-3.74724817800314	0.000178785176220858	0.00549425571779612	depleted in toy-SfmbtKD
CG8539	22.3330938909222	2.52277393478887	0.69492992224443	3.63025659715589	0.000283139600610163	0.00757883259715424	enriched in toy-SfmbtKD
CG8664	9.73630765394588	-3.84099919536393	1.35161690782938	-2.84178096109523	0.00448623026003025	0.0479811695290803	depleted in toy-SfmbtKD
CG8708	5.79905025655431	-5.79238644478626	1.90624993018801	-3.03862906592472	0.00237657278854651	0.0327491059860358	depleted in toy-SfmbtKD
CG8745	54.6918375252512	-3.63871370771568	1.18099502835129	-3.0810576000438	0.00206266742577335	0.0299768353098027	depleted in toy-SfmbtKD
CG9119	357.79691771205	-2.91975230054357	0.646639872486935	-4.51526796409011	6.32367531814217e-06	0.00049033577665277	depleted in toy-SfmbtKD
CG9184	40.0966950407873	-2.6110601456197	0.794293627512304	-3.28727318862854	0.0010116264339797	0.018474000485947	depleted in toy-SfmbtKD
CG9812	113.842426758166	1.41595831790729	0.383982661582131	3.68755795397921	0.000226416537150685	0.00646809815193624	enriched in toy-SfmbtKD
