geneid	WT_1	WT_2	WT_3	toyKD_1	toyKD_2	toyKD_3	PcKD_1	PcKD_2	PcKD_3	toy-PcKD_1	toy-PcKD_2	toy-PcKD_3	SfmbtKD_1	SfmbtKD_2	SfmbtKD_3	toy-SfmbtKD_1	toy-SfmbtKD_2	toy-SfmbtKD_3	ScmKD_1	ScmKD_2	ScmKD_3	toy-ScmKD_1	toy-ScmKD_2	toy-ScmKD_3
CG14676	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG1468	391	2	16	20	30	4	0	14	4	2	8	0	2	26	4	0	2	4	4	10	2	0	0	0
CG14683	2057	497	1301	4025	2143	2133	1014	742	2592	2546	848	734	1952	814	1107	941	2490	2105	1214	1418	1179	883	959	1365
CG14684	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14687	112	104	147	345	74	116	48	32	94	94	38	28	138	100	100	64	48	114	52	88	66	22	56	54
CG14688	108	28	58	107	48	52	36	30	42	48	16	10	46	26	12	51	24	72	12	29	10	16	8	14
CG14689	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0
CG14691	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14692	8	4	2	16	15	14	4	4	6	30	2	2	8	12	4	2	12	8	6	6	4	6	4	8
CG14693	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0
CG14694	14	4	16	25	24	23	2	6	14	11	6	2	19	2	10	0	18	8	8	0	4	2	2	0
CG14695	25	10	26	63	10	50	55	68	90	141	69	29	50	20	36	14	114	32	10	30	10	4	8	13
CG14696	1027	209	587	2052	1467	1270	635	511	1150	1455	530	527	809	402	559	591	2056	1081	459	552	491	411	385	651
CG14701	150	26	101	255	154	150	66	62	137	169	58	43	138	65	108	57	177	155	58	80	50	34	50	79
CG14708	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14710	602	140	431	1126	481	576	244	174	552	602	160	195	559	292	362	294	494	581	305	319	242	158	176	260
CG14711	582	136	406	1198	619	639	282	275	688	776	204	251	523	236	303	285	644	574	244	292	244	122	207	274
CG14712	1610	469	1048	3005	1438	1499	761	596	1467	2252	584	477	1749	788	987	888	2009	2014	1008	1289	1113	660	720	946
CG14715	2060	460	1138	3508	1990	1827	668	551	1656	1800	530	502	1850	756	1146	846	1598	2058	1148	1352	1057	672	940	1146
CG14717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14718	8	0	0	24	0	4	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
CG14720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14721	360	102	194	749	342	358	142	118	404	428	116	110	348	150	194	186	312	342	159	194	156	94	142	140
CG14722	1246	375	870	2426	1176	1226	524	522	1426	1698	555	425	1309	594	890	706	1349	1432	784	1012	868	516	686	851
CG14731	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14739	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14740	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14743	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG14749	1126	282	600	1969	1108	1130	440	364	1364	1367	388	372	962	444	624	550	1261	1216	549	744	511	340	435	543
CG14752	0	0	2	6	0	2	4	2	9	11	0	0	2	2	2	4	2	6	1	2	6	2	2	2
CG14756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CG14757	42	8	16	78	46	22	24	18	42	44	16	11	24	12	14	10	36	12	22	10	8	12	24	28
CG14759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
