geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_wt_vs_toyKD_change
CR44272	3.01668800639392	-6.00735224306744	1.79067763506416	-3.35479269156796	0.000794244812712363	0.0402063741343325	depleted in toyKD
CR44368	96.7653218870812	1.67996816963422	0.210210435421218	7.99184001625758	1.32939484092415e-15	1.33005953834461e-12	enriched in toyKD
CR45822	213.810291331476	-10.0115371108333	1.03553229071241	-9.66801054938199	4.12315099827482e-22	6.87535428962326e-19	depleted in toyKD
CR45835	156.830571438051	-6.08214415803082	0.386850550341189	-15.7222062956007	1.06547834497028e-55	1.06601108414276e-51	depleted in toyKD
Cyp4g15	60.096740671136	-2.08361153465945	0.622328097052331	-3.34809169717472	0.000813700834225028	0.040705384232107	depleted in toyKD
DIP-epsilon	31.6260468144939	-1.2515838168027	0.372880583388991	-3.3565271900925	0.000789279597065053	0.0402063741343325	depleted in toyKD
DIP-eta	20.8520213491557	-2.98204505611513	0.615171688712275	-4.84750047967483	1.25026730374646e-06	0.000245273026940849	depleted in toyKD
DNaseII	37.3507545551632	-2.58147409438502	0.710800394932271	-3.63178483409678	0.00028146776174397	0.0202354975386031	depleted in toyKD
Dscam4	692.517667276869	1.16527646777986	0.182732620492008	6.37694826814364	1.80651447376174e-10	8.21553514090283e-08	enriched in toyKD
Eaat1	51.0771159526143	-2.30545376876247	0.572773630497414	-4.02506967152161	5.69584494287047e-05	0.00581499271973664	depleted in toyKD
Ect3	131.317728580651	-1.07809115572566	0.3047429562562	-3.53770656086732	0.000403618344295559	0.0253974939287866	depleted in toyKD
Eglp2	19.457373865896	3.7667602992846	0.931868121467915	4.04216027193961	5.29610119809837e-05	0.00557763078810254	enriched in toyKD
Ets65A	26.0080041652489	-3.77931441447958	0.728101239268784	-5.19064411739646	2.09567841637871e-07	5.5177006725971e-05	depleted in toyKD
Gat	61.3843061727476	-1.93432738906415	0.523286169728342	-3.69650011974964	0.000218592156203635	0.0167289516007206	depleted in toyKD
Ggamma30A	205.277967590555	-1.54818931210251	0.332989401986748	-4.64936512353063	3.32958331904772e-06	0.000605681474674044	depleted in toyKD
Gr64a	46.0126929533135	-6.49301104115813	0.921232246661248	-7.04818037437385	1.81272567947285e-12	1.06684237783093e-09	depleted in toyKD
Gr64f	8.95970555349544	-4.18138092981528	0.964975065550447	-4.33314919637858	1.46991421960904e-05	0.00210092739531264	depleted in toyKD
Gs1	741.090194646162	-1.75854983696233	0.496046194266928	-3.54513320994463	0.000392414714597854	0.0250070650926849	depleted in toyKD
Hasp	22.9932620647473	-2.3027445653896	0.661120121083321	-3.48309557061475	0.000495651387878511	0.0293431487320976	depleted in toyKD
Hug	7.205776650189	-5.79925859657947	1.2759890099914	-4.54491265298481	5.49580395949913e-06	0.0009480261830136	depleted in toyKD
Kr	93.3714136097252	-2.21790968809228	0.593258105484006	-3.73852403800335	0.000185103796466192	0.014815707869154	depleted in toyKD
Ktl	36.1786960822671	-2.57833136679611	0.59722296302083	-4.31720065443328	1.58020497498663e-05	0.00222675363024525	depleted in toyKD
Lst	115.177625060113	-2.12772910517756	0.520901713279013	-4.08470360326474	4.41331143973845e-05	0.00487317607844936	depleted in toyKD
Mal-A5	199.984115540064	-1.97300928898214	0.553877027385048	-3.5621793131538	0.000367789031636252	0.0242087451415836	depleted in toyKD
Mct1	185.658424379219	-2.31268714166779	0.552347576968362	-4.18701418835093	2.82648162955813e-05	0.0033665415123487	depleted in toyKD
NT5E-2	77.3386947538405	-2.53896257302107	0.533792810343904	-4.75645704442011	1.97020137900393e-06	0.000379074323017969	depleted in toyKD
Nep4	54.5694225102241	-1.5777963876841	0.410877593065705	-3.84006432648614	0.000123002076686051	0.0106089291141719	depleted in toyKD
NimC2	104.471620915024	-2.9146709100081	0.842195337382916	-3.46080152742867	0.000538569717450806	0.0310381573189685	depleted in toyKD
Nlg2	26.8478787721078	-2.43981059348627	0.590295199794137	-4.13320419061029	3.57740635629363e-05	0.00421081771702562	depleted in toyKD
Oat	274.769479540679	-1.12314798784174	0.340596445910066	-3.29759162589239	0.000975178516564337	0.0471336283006096	depleted in toyKD
Obp44a	2367.27916457267	-1.94706083625375	0.434935447909614	-4.47666624004024	7.58176359173827e-06	0.00122347652798938	depleted in toyKD
Oli	27.38324455181	-3.15013876625171	0.716314071572818	-4.39770610583556	1.09400979233602e-05	0.00165841938974574	depleted in toyKD
Orct	224.587826101673	-1.30771292632658	0.355503336524057	-3.67848284945163	0.00023462546480772	0.0173936849037259	depleted in toyKD
Oseg5	85.6264965949608	-2.90800883237599	0.38023002202541	-7.64802531079898	2.04089049388024e-14	1.70159244927265e-11	depleted in toyKD
PGRP-SB2	14.7294724435397	33.7332153542316	4.6255793352442	7.29275468203609	3.03680758551636e-13	1.8989537433182e-10	enriched in toyKD
Pal2	131.926183825	-1.09261872912166	0.279347320773231	-3.9113270393906	9.17903793890596e-05	0.00834875223443219	depleted in toyKD
Picot	89.8245304417348	-1.29376489896533	0.32516867860578	-3.97875005831615	6.92785229358906e-05	0.0066647271343614	depleted in toyKD
Proc-R	177.066934305685	2.33576867056665	0.407673934458383	5.7295021171021	1.0072583238559e-08	3.7324516778438e-06	enriched in toyKD
