geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toySfmbtKD_change
CG15547	39.9797457059653	-1.0709662266301	0.316446596744953	-3.38435059073577	0.000713468376035075	0.00917512995145364	depleted in toy-SfmbtKD
CG15599	19.3784610819692	2.98672759059152	0.786393164488504	3.79800807721185	0.000145863571495126	0.0025875266539162	enriched in toy-SfmbtKD
CG15864	31.9627131641952	-1.49877992288004	0.269120938709757	-5.56916875389045	2.55957494458585e-08	1.54034873424889e-06	depleted in toy-SfmbtKD
CG15930	53.7418959793251	6.73389833451891	0.613510571494506	10.9760102716978	4.98455165405021e-28	3.32469595325149e-25	enriched in toy-SfmbtKD
CG16710	7.43740846884893	-1.87459881585423	0.683843408004188	-2.74126911791881	0.0061202356720865	0.0481769928396739	depleted in toy-SfmbtKD
CG16800	18.8329040321908	2.48271484755546	0.717800500365012	3.45878116035439	0.000542625594430306	0.00742677027671027	enriched in toy-SfmbtKD
CG16820	50.7668613789121	-2.14926673752801	0.656366723886615	-3.27449070666065	0.00105852620811183	0.0125272312168719	depleted in toy-SfmbtKD
CG1688	23.614603177265	1.52648562010111	0.46607811373554	3.27517121082253	0.00105597954512684	0.0125178617879077	enriched in toy-SfmbtKD
CG16886	48.7856375436178	-2.42404220738471	0.509527588698189	-4.75743072829087	1.96072507947797e-06	6.95640227665856e-05	depleted in toy-SfmbtKD
CG17018	82.437814474719	1.2781189503181	0.258190688720203	4.95029064236772	7.4102733478705e-07	3.01381239209123e-05	enriched in toy-SfmbtKD
CG17104	286.030500864131	1.10399613261479	0.252980223615544	4.36396219766387	1.27727658354417e-05	0.000350113759407108	enriched in toy-SfmbtKD
CG17928	69.3831012381817	-3.63985904605586	0.656598959673315	-5.54350413206082	2.96477674224819e-08	1.74485831212901e-06	depleted in toy-SfmbtKD
CG18599	19.6470765688461	2.13413628036449	0.584008709919366	3.65428844487464	0.000257896207821908	0.00413501852445222	enriched in toy-SfmbtKD
CG2003	121.617719754593	-1.17575554007839	0.299755917265945	-3.92237641479235	8.76798695994229e-05	0.00169024488505246	depleted in toy-SfmbtKD
CG2254	95.5220741067644	-2.86421349628937	0.685237392905847	-4.1798849945174	2.91656557621915e-05	0.000703138279278859	depleted in toy-SfmbtKD
CG30090	18.8605646970736	-3.45012208420233	1.01797179740967	-3.38921185535935	0.000700938331486159	0.00905438977939484	depleted in toy-SfmbtKD
CG30101	246.93489760494	1.7757236656654	0.433878578645635	4.09267420209676	4.26426664872046e-05	0.000938677559761072	enriched in toy-SfmbtKD
CG30148	30.4443475179105	-3.19109879987234	0.844288560260691	-3.77963050794745	0.000157061254663376	0.00272812127240812	depleted in toy-SfmbtKD
CG30427	89.3887041117376	2.81491977469966	0.275658637297919	10.2116146342893	1.75912809123693e-24	9.77782030712526e-22	enriched in toy-SfmbtKD
CG31145	158.951130400419	-1.78877653482419	0.417707995626546	-4.28236125128774	1.84920440207674e-05	0.000481804428197339	depleted in toy-SfmbtKD
CG31174	19.3829683396146	-1.789923110039	0.528496163182004	-3.3868232822394	0.000707069167128587	0.00910453927557467	depleted in toy-SfmbtKD
CG31431	59.2810116175931	-3.69595131179707	0.904352466999566	-4.08684826620686	4.37272893609264e-05	0.000953140588357447	depleted in toy-SfmbtKD
CG31698	49.6018422341722	-4.35117319801992	1.51841701862607	-2.86559828073913	0.00416222052347813	0.0362119076495259	depleted in toy-SfmbtKD
CG31760	41.745083081121	1.33981066847905	0.410334952443939	3.26516340004475	0.00109400946228802	0.012801830023616	enriched in toy-SfmbtKD
CG31875	58.5316934719815	2.07969192491708	0.248201566139356	8.37904432782431	5.33591770383515e-17	1.40489096386502e-14	enriched in toy-SfmbtKD
