geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toyScmKD_change
CG2187	2.12130738300848	6.74682497561104	2.5670897581373	2.62819987272537	0.00858380638407283	0.030170958537164	enriched in toy-ScmKD
CG2233	271.203343482542	-4.85896008629644	1.59859208620213	-3.0395246718881	0.00236951793830157	0.0104265463166918	depleted in toy-ScmKD
CG2254	95.5220741067644	-1.79427983839038	0.681613763626737	-2.63239965819258	0.00847840631487565	0.0299027966829368	depleted in toy-ScmKD
CG2650	3.26326400404888	-4.67612552663456	1.55482054303858	-3.0075017644776	0.00263404595529486	0.011340580099348	depleted in toy-ScmKD
CG2736	72.3381781424756	-3.95214799567529	1.51668199707557	-2.60578552609955	0.00916638386222371	0.031751941453966	depleted in toy-ScmKD
CG2837	15.584305736291	-1.9189253038168	0.740181715044851	-2.59250568450009	0.00952796067242841	0.0326695214545622	depleted in toy-ScmKD
CG30008	5.48667206230653	-4.70664676546737	1.50044876568478	-3.13682604371988	0.00170787425661208	0.00798303562606492	depleted in toy-ScmKD
CG30046	137.709110844278	-1.00256307171664	0.384574221232728	-2.60694299400252	0.00913545679697133	0.0316972209169509	depleted in toy-ScmKD
CG30056	7.66296592622182	-4.78290210728192	1.42962794712171	-3.34555722480903	0.000821174122845268	0.00430305099389904	depleted in toy-ScmKD
CG30090	18.8605646970736	-3.2333128557029	1.06197904864908	-3.0446107762822	0.00232981611964239	0.0102887115738845	depleted in toy-ScmKD
CG30098	5.7256586578014	-4.38052839971701	1.47466623836621	-2.97052192947079	0.00297294179157448	0.0125520214698681	depleted in toy-ScmKD
CG30099	12.0058274349546	-2.91103283256599	0.770844398720388	-3.77642081514551	0.000159098107534909	0.00103512588598023	depleted in toy-ScmKD
CG30101	246.93489760494	1.06073096101511	0.437120292420132	2.42663399391122	0.0152396215626213	0.0473835072331429	enriched in toy-ScmKD
CG30116	19.4519586472986	-1.84305935063746	0.632907464672453	-2.91205184566956	0.00359063032655071	0.0146749327626292	depleted in toy-ScmKD
CG30148	30.4443475179105	-2.64446725758236	0.857806446323031	-3.08282511622268	0.00205045615892918	0.00923807667302501	depleted in toy-ScmKD
CG30156	30.8451842638842	-1.18959478589721	0.420944782025587	-2.82601147868583	0.00471315750571353	0.0184630983067873	depleted in toy-ScmKD
CG30187	65.7291374819686	-2.67723090837525	0.390385949872973	-6.8579079478818	6.98762587460178e-12	1.70618603814577e-10	depleted in toy-ScmKD
CG3036	1588.17033696791	1.15359015148305	0.164103124587093	7.02966597610896	2.07028550006994e-12	5.36788133990906e-11	enriched in toy-ScmKD
CG30424	16.2095379851538	-2.32541927551248	0.807681652250753	-2.87912851435002	0.00398775795789763	0.0160106418585579	depleted in toy-ScmKD
CG30427	89.3887041117376	-1.2388072336471	0.385073058343192	-3.21707064881965	0.00129506703974342	0.00632734479538819	depleted in toy-ScmKD
CG30456	94.4753264907871	-1.24757824496214	0.331088815098868	-3.76810749281758	0.000164489873278642	0.00106255281829438	depleted in toy-ScmKD
CG30486	3.59149346774505	-4.60196253225624	1.61354053921543	-2.852089811449	0.00434328273224917	0.0172072188427799	depleted in toy-ScmKD
CG30495	28.8385362997124	-1.65159507454771	0.514166216181513	-3.21218124133745	0.00131731242020086	0.00641210390409109	depleted in toy-ScmKD
CG3078	15.097835951558	-3.12129452203527	1.06838546095905	-2.92150598832877	0.00348343578996949	0.0142758176447302	depleted in toy-ScmKD
CG31145	158.951130400419	-1.24615242134954	0.419561704153813	-2.97012908712158	0.002976746351278	0.0125579613490282	depleted in toy-ScmKD
CG31174	19.3829683396146	-2.05881728356163	0.57870524171045	-3.55762681097632	0.000374220456511763	0.00219851894669698	depleted in toy-ScmKD
CG31183	13.1291007756439	-2.48435089528944	0.785871549436522	-3.16126839948684	0.0015708368151	0.00747508991027018	depleted in toy-ScmKD
CG31211	1643.6134030061	-2.26821919168186	0.130001469398858	-17.4476427241197	3.58734983232849e-68	6.26291491560682e-65	depleted in toy-ScmKD
CG31248	5.28947468767743	-3.29828927387969	1.22152724427193	-2.70013566160415	0.00693112068238607	0.0253592347705184	depleted in toy-ScmKD
CG31324	97.5450392971635	-1.65930144554653	0.279520634744663	-5.93623954475589	2.91633615273293e-09	5.22198652989358e-08	depleted in toy-ScmKD
CG31431	59.2810116175931	-5.72722557119823	1.02705722875552	-5.57634512551737	2.45624390185683e-08	3.82874328451642e-07	depleted in toy-ScmKD
CG31683	11.323609432452	7.08596694450791	1.45032367657913	4.88578312478602	1.03018548570135e-06	1.18976769159004e-05	enriched in toy-ScmKD
CG31697	9.88429692727311	-2.20652390906005	0.836495423831232	-2.63781946224398	0.00834409912126389	0.0294845446883008	depleted in toy-ScmKD
CG31698	49.6018422341722	-5.1216371064334	1.64266552088841	-3.11788190675813	0.00182155775544074	0.00841140821618963	depleted in toy-ScmKD
CG31705	2343.7372375057	1.29246752969583	0.172025198183546	7.51324540441341	5.76792574696551e-14	1.71644949430295e-12	enriched in toy-ScmKD
CG31712	1040.61498042544	-1.96949467595145	0.125496487117139	-15.6936239507096	1.67229686823074e-55	1.16782064631447e-52	depleted in toy-ScmKD
