geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_toy_v_toyPcKD_change
CG16820	50.7668613789121	-2.03241683687986	0.663563463108516	-3.06288237655346	0.00219216207542534	0.0190546797558494	depleted in toy-PcKD
CG1688	23.614603177265	1.45385742292998	0.477054510285513	3.04757085738452	0.00230699128951725	0.0197539920232985	enriched in toy-PcKD
CG16886	48.7856375436178	-2.52861178094383	0.534879942554827	-4.72743802817888	2.27370425409233e-06	6.61133647692917e-05	depleted in toy-PcKD
CG16894	6.08052282871849	-3.22003901353604	1.11465402558877	-2.88882374226854	0.00386685753836328	0.0292862001161312	depleted in toy-PcKD
CG1698	122.00189718742	1.71419995603227	0.253168766915103	6.77097722961657	1.27915407874856e-11	1.15716068049754e-09	enriched in toy-PcKD
CG17027	13.007019035996	-2.8163978818695	1.03680224194589	-2.71642726831264	0.0065990692799615	0.0437995291203967	depleted in toy-PcKD
CG17104	286.030500864131	1.11333450110587	0.254587741712151	4.37308761851014	1.2250152937565e-05	0.000272628688382711	enriched in toy-PcKD
CG17109	70.0301909967192	-4.96497861480902	1.53600727052993	-3.23239265208431	0.00122758249058677	0.0124027724229915	depleted in toy-PcKD
CG17134	153.437925155101	7.28102167569284	2.41904026983289	3.00988030934922	0.0026135065787895	0.0217495394163317	enriched in toy-PcKD
CG17321	71.5874358486294	1.02828535311767	0.310684710686481	3.30973915918037	0.000933829505841435	0.0100148345467298	enriched in toy-PcKD
CG17386	137.079612113886	-1.46244030986164	0.295138050349472	-4.95510595170623	7.22908861982272e-07	2.42708576686144e-05	depleted in toy-PcKD
CG17646	240.523769167731	-1.44994758505685	0.391540722654257	-3.70318462720211	0.00021290981527024	0.00304557671330929	depleted in toy-PcKD
CG17739	186.619448971314	1.33524432209734	0.210873431598087	6.33197037662971	2.42049967067087e-10	1.72615195492368e-08	enriched in toy-PcKD
CG17760	30.8293645438137	-1.56543190169019	0.505987778700258	-3.09381366030489	0.00197601553290755	0.0177278895835691	depleted in toy-PcKD
CG17928	69.3831012381817	-1.66926169392398	0.626471030297725	-2.66454730257946	0.00770920234313813	0.0490357466747783	depleted in toy-PcKD
CG18599	19.6470765688461	1.78702018432834	0.597841956697807	2.98911805086244	0.00279784010005432	0.0230091732134097	enriched in toy-PcKD
CG18649	24.9997489707859	5.45279605782573	1.61735791760453	3.37142199538731	0.000747812126788195	0.00838820261621201	enriched in toy-PcKD
CG18747	19.6836810552144	-4.6766390040721	1.12981391491572	-4.13930023549138	3.48366794441819e-05	0.000658325644428737	depleted in toy-PcKD
CG18765	33.7656177147069	-1.08309512885603	0.339099367535574	-3.19403464750609	0.00140299277761365	0.0135984518227037	depleted in toy-PcKD
CG30046	137.709110844278	-1.07080647493109	0.383785272053608	-2.79011872759285	0.00526887163598929	0.0369274575922635	depleted in toy-PcKD
CG30059	17.5761786244569	-2.71831639042103	0.564141065358585	-4.81850472752446	1.44638099266637e-06	4.42982517189668e-05	depleted in toy-PcKD
CG30154	31.2626477531423	-1.38956117095111	0.448513573239045	-3.09814742264335	0.00194734531291372	0.0175674641802097	depleted in toy-PcKD
CG30187	65.7291374819686	-1.05623671344015	0.331086918842229	-3.19020974049257	0.0014216957345113	0.0137388400852377	depleted in toy-PcKD
CG30195	61.1068197470236	1.15494096534289	0.299595165035076	3.85500535433431	0.000115727096309117	0.00182197482401908	enriched in toy-PcKD
CG30287	4.59937137570766	3.20244400405132	0.942966868817164	3.39613629062959	0.000683443198269404	0.00782794847255812	enriched in toy-PcKD
CG30486	3.59149346774505	-4.89943801555077	1.61354053921543	-3.03645176335828	0.00239380407001151	0.0202488881073701	depleted in toy-PcKD
CG31145	158.951130400419	-1.81132188345022	0.423682723049811	-4.27518467218044	1.90978926330942e-05	0.000391166480136962	depleted in toy-PcKD
CG31174	19.3829683396146	-1.95910780832858	0.559334085789543	-3.50257182264004	0.000460789534841458	0.00569862500683677	depleted in toy-PcKD
CG31431	59.2810116175931	-5.02163462152139	0.963526553813404	-5.21172416229421	1.87093593180044e-07	7.52224035131289e-06	depleted in toy-PcKD
CG32073	48.2720486115911	7.45708262358826	1.12471063998583	6.63022324007021	3.35179562735001e-11	2.87254765607101e-09	enriched in toy-PcKD
CG32204	33.9114769757842	1.00000047200464	0.351230588505935	2.84713377686848	0.00441148197530938	0.0322364838435098	enriched in toy-PcKD
CG32335	19.0675332588022	-7.05254722095957	1.31978548401577	-5.343707220889	9.10646145473702e-08	3.97188073271342e-06	depleted in toy-PcKD
CG32368	15.6026438978662	-2.45475535790767	0.866579726130941	-2.83269419291348	0.0046157520275285	0.0334043683770026	depleted in toy-PcKD
CG32581	86.3544771324021	10.186202201852	1.25589562831551	8.11070758763163	5.03258313551548e-16	1.068876896391e-13	enriched in toy-PcKD
CG32706	15.4511968175933	1.33093502333274	0.412625002319061	3.22553169549235	0.00125738912295536	0.0125700911483288	enriched in toy-PcKD
CG3277	15.397450238144	-2.44763707791682	0.691727275056883	-3.53844234017742	0.00040249517578121	0.00514709144945343	depleted in toy-PcKD
CG32816	58.1331395897107	-1.05549028584551	0.355398000005172	-2.96988245806154	0.00297913714867491	0.0240426876328478	depleted in toy-PcKD
CG33226	5.71267402463194	2.53733166765569	0.948608347659424	2.67479373749583	0.00747752393948825	0.0480311695521369	enriched in toy-PcKD
CG33288	32.9759075127692	2.04993338945428	0.634525581552145	3.2306552313302	0.00123506818142048	0.0124269991065686	enriched in toy-PcKD
CG33333	692.465086566681	-3.82391590752801	1.39069496963996	-2.74964387662809	0.00596600650281096	0.0406364073223782	depleted in toy-PcKD
CG33460	79.3663055717725	-2.93477750194461	0.570025577512112	-5.14850143173138	2.62575782484253e-07	1.02205792624349e-05	depleted in toy-PcKD
CG33465	194.450885469488	-2.21204426913146	0.401273452281447	-5.51256071527994	3.53650132079748e-08	1.60705199554378e-06	depleted in toy-PcKD
CG33494	90.2719534732272	-1.34738039719099	0.371077497658921	-3.63099461889076	0.000282331071789718	0.00384710539942196	depleted in toy-PcKD
CG34165	43.7179142353122	-2.09418660033066	0.630567726235925	-3.32111288478334	0.000896592656180504	0.00974383787639991	depleted in toy-PcKD
CG34221	40.308389004772	-1.82543445335269	0.566850520378393	-3.22031009539189	0.00128052001238593	0.0127011984984879	depleted in toy-PcKD
CG34247	55.4092178857544	2.81819891710944	0.500991261407689	5.62524565636302	1.852441632473e-08	9.23385446390879e-07	enriched in toy-PcKD
CG34331	152.929581592069	-1.21680264077935	0.426241193445105	-2.85472793219377	0.00430737108326531	0.0316175923993254	depleted in toy-PcKD
CG34436	8.40942631315795	2.43218276559148	0.839601588262348	2.8968296387161	0.00376954393383248	0.0287722220574557	enriched in toy-PcKD
CG34445	102.012822190531	1.13461362811385	0.189140874832956	5.99877540545324	1.98811107601002e-09	1.21399032578862e-07	enriched in toy-PcKD
CG3505	51.1155943085324	-1.79177565848241	0.619444267669772	-2.89255345799344	0.00382124147523132	0.0290759573310047	depleted in toy-PcKD
CG41284	4.7854115907731	5.9199522737477	1.5727348662219	3.76411332952062	0.000167141074941529	0.00247419439724052	enriched in toy-PcKD
CG42240	375.350949267424	1.03861182845667	0.261213725066431	3.97609975583227	7.0054748284182e-05	0.00119239528002867	enriched in toy-PcKD
CG42255	14.3526237755477	-7.38554422726187	1.7044229341056	-4.33316407534581	1.46981483875123e-05	0.000314914275758761	depleted in toy-PcKD
CG42402	52.0951296664573	1.72707369137752	0.419341546325904	4.11853704100971	3.8128528843809e-05	0.000710907875580179	enriched in toy-PcKD
CG4250	123.185093335473	-1.19106137550593	0.436500747572219	-2.7286582717911	0.00635925655066426	0.0426227616590998	depleted in toy-PcKD
CG42514	650.87503807016	1.01452367692335	0.262104204041471	3.87068830365967	0.000108528486895589	0.00172410295442261	enriched in toy-PcKD
CG42566	102.517084183624	-1.59515052843847	0.506542777625833	-3.14909342092477	0.00163777829843879	0.0154153121153632	depleted in toy-PcKD
CG4259	148.598553120396	-1.73335269109659	0.417068363409775	-4.15603973632867	3.23811529754305e-05	0.000619107367064494	depleted in toy-PcKD
CG42694	55.5658531284146	-1.74956370268644	0.420289358069744	-4.16275993929904	3.14423883987302e-05	0.000603520893232993	depleted in toy-PcKD
CG42711	32.9310940754398	-2.01211997171851	0.6386231718406	-3.15071557131149	0.00162871014724861	0.0153447426601918	depleted in toy-PcKD
CG42717	8.33178311143388	-7.70910796899722	2.37532201484915	-3.24550015568597	0.00117244500399929	0.0119569808862975	depleted in toy-PcKD
CG42807	303.039371940766	-1.46438512720255	0.513613588068404	-2.85114171669368	0.00435625491312159	0.0319284399858949	depleted in toy-PcKD
CG42835	8.59487116413164	-21.9503143194857	3.55777950890326	-6.16966685668843	6.84340254479262e-10	4.61103743880165e-08	depleted in toy-PcKD
CG43085	34.6765305537453	-1.85377571651034	0.679079208630466	-2.72983724571534	0.00633656001860819	0.0426227616590998	depleted in toy-PcKD
CG43117	44.2393865425227	3.26583736822264	1.08181742152143	3.01884338637262	0.00253741665070647	0.021279451225238	enriched in toy-PcKD
CG43125	15.7132759690499	-1.67468559986245	0.607400197630199	-2.75713706777889	0.00583099033426544	0.0400342765746826	depleted in toy-PcKD
CG43156	73.6805266425108	-1.88984052802633	0.541950933622523	-3.48710632417256	0.000488277196641002	0.0059780303398278	depleted in toy-PcKD
CG43187	7.42099942250485	-4.75973371217137	1.73938926439173	-2.7364396283289	0.00621079900281636	0.0420509398873983	depleted in toy-PcKD
CG43236	19.3573284364516	-1.86622788433856	0.679079234850594	-2.74817398112483	0.00599282000782432	0.0407445034630784	depleted in toy-PcKD
CG43295	63.355360242801	1.43887242853944	0.317722435821035	4.52870891796233	5.93451858650586e-06	0.00015059804309133	enriched in toy-PcKD
