Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_WT_vs_PcKD_change
CG10877	299.385299344422	1.15381864043804	0.215545775978639	5.3530097502462	8.65031861007125e-08	2.73419484215246e-06	enriched in absence of Pc
CG10924	386.294539472848	-1.29750087621448	0.352477700199222	-3.68108642186761	0.000232242263922047	0.00223323288716027	depleted in absence of Pc
CG11029	205.630531258667	1.40786743456205	0.547839752715107	2.569852639544	0.0101741783041958	0.0430019645122861	enriched in absence of Pc
CG11125	279.048979147088	1.18175304736416	0.234024110514277	5.04970639464118	4.42489625663658e-07	1.16944151985082e-05	enriched in absence of Pc
CG11317	7.78459660217235	-3.92854414267369	1.11276348702169	-3.53043947657595	0.000414869921428156	0.00350551391530177	depleted in absence of Pc
CG1136	212.669018592516	3.2435478950526	0.371703217897443	8.72617652706878	2.63427384817082e-18	8.99253282637245e-16	enriched in absence of Pc
CG11425	12.6594628136043	-3.17467333302415	0.799743894629546	-3.96961246511885	7.19896218824773e-05	0.000859260743238287	depleted in absence of Pc
CG11668	16.6084093932646	2.50236396011934	0.80576417273914	3.10557858586927	0.00189907150571066	0.0118805078130623	enriched in absence of Pc
CG11760	2.91310696628397	-3.67764610546115	1.41849638662904	-2.59263692183301	0.0095243260579171	0.0408282223353407	depleted in absence of Pc
CG11893	36.7570280637578	2.36456585135978	0.691609303668205	3.4189329709974	0.000628672109334593	0.00491948051938597	enriched in absence of Pc
CG12009	66.2287815040277	-3.29839641023028	1.02722710127237	-3.21097097822354	0.00132287294073881	0.00889189864037456	depleted in absence of Pc
CG12164	47.4332539849814	3.34516082489535	0.734954765297401	4.55151933539981	5.32599020631469e-06	9.79236368094592e-05	enriched in absence of Pc
CG12239	20.2885652803169	-3.70514086661685	1.38758661722998	-2.67020510331338	0.00758049264942342	0.034487705563192	depleted in absence of Pc
CG12310	418.744295503625	-4.48472588988426	1.50827603687042	-2.97341188234335	0.00294508955692169	0.0168119632956717	depleted in absence of Pc
CG12522	33.9818291676887	6.23448983169054	1.362437065165	4.57598372144662	4.73987402854592e-06	8.89939769029723e-05	enriched in absence of Pc
CG12541	72.7148287591471	-1.71395469742443	0.404957956435628	-4.23242628076844	2.31183701206181e-05	0.000337258160121438	depleted in absence of Pc
CG12594	13.2829821911217	-1.94639322941299	0.723469199253798	-2.69036087703601	0.00713747884552095	0.0328516498233618	depleted in absence of Pc
CG12607	32.7979082324132	-2.81571947049093	0.936274980096363	-3.00736378772093	0.00263524193769929	0.0154126286030716	depleted in absence of Pc
CG12643	1058.86271086792	1.00398345197768	0.210678610177174	4.76547406086154	1.88410136127668e-06	4.07069241367816e-05	enriched in absence of Pc
CG12688	14.8147415917335	1.37382613849034	0.533079170698138	2.57715216426695	0.0099618086638044	0.0422438436960749	enriched in absence of Pc
CG12715	36.4550181685383	-4.57321918898668	1.65058625616489	-2.7706635578152	0.0055942196590541	0.0272034204788096	depleted in absence of Pc
CG12926	26.9089256109444	-2.83624083441121	0.840392044997293	-3.37490204874601	0.000738419680532438	0.00557270150945667	depleted in absence of Pc
CG12974	14.6540239394809	-3.30385651283878	0.939920561628874	-3.51503802312104	0.000439691029565471	0.00367627074500645	depleted in absence of Pc
CG13003	105.395954953648	1.20500789468517	0.42088782510783	2.8630143777061	0.00419631521219216	0.0219998254009837	enriched in absence of Pc
CG13024	72.7159539957207	1.03000595747591	0.375257805523066	2.74479555739073	0.00605486048278959	0.0289215607295934	enriched in absence of Pc
CG13032	5.31573446967305	-6.88960606828952	2.42120930115399	-2.84552271668782	0.00443385967491686	0.0229261032152078	depleted in absence of Pc
CG13033	20.8761132668471	-7.75507662024919	1.76571297435553	-4.39203694648033	1.12293610395446e-05	0.000182363703906072	depleted in absence of Pc
CG13041	246.495759690565	-1.59324406240624	0.313680383752473	-5.0791957193711	3.79036071979396e-07	1.03236925881409e-05	depleted in absence of Pc
CG13044	324.508372566588	-1.84512245465945	0.652643428998827	-2.82715242761261	0.00469639672217298	0.0238098014018681	depleted in absence of Pc
CG13045	18.9640260243776	-2.14439383828774	0.735235759020724	-2.91660710456181	0.003538612076147	0.019337740806735	depleted in absence of Pc
CG13051	7.83883590778506	-5.46239401078006	2.09464746693126	-2.6077867980251	0.00911296944006958	0.039494676274123	depleted in absence of Pc
CG13053	17.2639737625893	1.9254964997621	0.694822423735799	2.77120661910914	0.00558489753700061	0.0271754811071503	enriched in absence of Pc
CG13056	4.43071059726498	-4.43586774052005	1.53989067939461	-2.88063808676597	0.00396871062380863	0.0211025781404071	depleted in absence of Pc
CG13060	95.8834357149835	-2.06492817240738	0.296672541163644	-6.96029421633723	3.39562829792255e-12	3.69942865947073e-10	depleted in absence of Pc
CG13064	95.7477261225962	-1.16544180389253	0.384691631336644	-3.02954810803422	0.00244919893678255	0.0145067937024813	depleted in absence of Pc
CG13067	55.2982334618295	-3.04730987751452	1.12364631110574	-2.71198316355951	0.00668819898171879	0.0311194210685062	depleted in absence of Pc
CG13157	4.47480320654831	5.29227137464192	1.56722738490147	3.37683697058078	0.000733244961702911	0.00554142112202464	enriched in absence of Pc
CG13203	56.2095441809835	-1.11785384362796	0.386542740136174	-2.89192818169125	0.00382885460168868	0.0205164870287822	depleted in absence of Pc
CG13287	18.8412529336948	-1.61201357403483	0.62766087111939	-2.56828750716914	0.0102202350565101	0.0430878582544095	depleted in absence of Pc
