geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_wt_v_ScmKD_change
CG7470	195.893859125467	-2.30713620481967	0.507266531511467	-4.54817351727357	5.41135112663032e-06	7.26312541124785e-05	depleted in ScmKD
CG7587	146.975891101639	-3.21570207908737	1.2136547522794	-2.64960201659316	0.00805866383760528	0.0319136799539504	depleted in ScmKD
CG7646	271.783023963302	-1.06122712575413	0.180545092852397	-5.87790622823365	4.15488154771202e-09	9.69364085675115e-08	depleted in ScmKD
CG7715	105.488596748257	3.93356385591061	1.46034009666163	2.69359436538298	0.00706861326961248	0.0287146642182076	enriched in ScmKD
CG7720	996.466031911998	-1.43516230166679	0.491273350609059	-2.9213111191306	0.00348561556842402	0.0165336679185875	depleted in ScmKD
CG7781	70.5392796299314	-1.39819831470474	0.431428625062628	-3.2408566179441	0.00119171108278216	0.00700190085988071	depleted in ScmKD
CG7990	31.5603134888796	-1.05203261723318	0.398113982438904	-2.6425412410493	0.0082286443430944	0.0324738137640192	depleted in ScmKD
CG7991	1144.4050294951	1.19375348777333	0.132005899739873	9.04318284353737	1.52175036948557e-19	1.33198679776937e-17	enriched in ScmKD
CG7997	68.4427198195929	-1.93894609042002	0.618539527275589	-3.13471654586131	0.0017202023995799	0.00940554873149907	depleted in ScmKD
CG8079	581.642261530878	-1.08035268933557	0.141769926506796	-7.62046448041136	2.52764514514074e-14	1.20960812763488e-12	depleted in ScmKD
CG8100	50.6776188472838	-4.36042899173412	1.39823705181571	-3.1185191281205	0.00181762343305844	0.00984605413024449	depleted in ScmKD
CG8112	87.1816118092109	-2.11148433358094	0.451135295273291	-4.68037937998586	2.86344541634207e-06	4.0898946316261e-05	depleted in ScmKD
CG8129	6.83568357397756	-3.63932858660712	1.42482331591658	-2.5542314937947	0.0106422475354573	0.0391944329776463	depleted in ScmKD
CG8157	27.9643299721386	-2.72642637360919	0.932531148823726	-2.92368397243164	0.00345915745390363	0.0164386224990381	depleted in ScmKD
CG8245	54.137986039979	-1.36672361791607	0.335023922773544	-4.07948067290675	4.51364220892493e-05	0.000465032292370223	depleted in ScmKD
CG8249	58.2600964399786	-1.56203212664194	0.518279045905233	-3.01388246154862	0.00257927711322527	0.013050581480504	depleted in ScmKD
CG8369	67.5987028524704	-1.86243364913707	0.727742961126726	-2.55919156710711	0.0104915909168263	0.0387885857686707	depleted in ScmKD
CG8401	17.1339988954722	-2.06926002024703	0.553220424572372	-3.74038977654616	0.000183735106839836	0.00150290034276898	depleted in ScmKD
CG8483	1555.16002427551	1.02985629499233	0.139719362682704	7.37089173052622	1.69490455742595e-13	7.32384707704605e-12	enriched in ScmKD
CG8654	38.3935997740707	-1.08793722774348	0.442792792023418	-2.45698947079054	0.0140106793019648	0.0484413797202637	depleted in ScmKD
CG8665	109.810086052318	-4.37807540907525	1.40105743354237	-3.12483650153152	0.00177903911984521	0.0096755919417604	depleted in ScmKD
CG8745	54.6918375252512	-4.02824893929188	1.11870672932199	-3.6008087139453	0.000317228912479608	0.00238352259185889	depleted in ScmKD
CG8850	9.31038137207188	-3.67595912123566	1.33427152941967	-2.755030771611	0.0058686615725769	0.0248146008112139	depleted in ScmKD
CG9121	52.0382920193579	-1.01986317912827	0.258580386951425	-3.94408559424059	8.01050451460556e-05	0.000765257245653689	depleted in ScmKD
CG9269	45.6190134107669	5.7845546713162	2.20193328526994	2.62703448374779	0.00861326048527976	0.0336416478374333	enriched in ScmKD
CG9368	60.4142916380358	-1.1837781827482	0.458098470135633	-2.58411293623774	0.00976298197074942	0.0367313366504206	depleted in ScmKD
CG9411	55.5464600019073	1.66295118911106	0.491227055035294	3.38530048796189	0.000711003748067207	0.00463192708903071	enriched in ScmKD
CG9444	31.9271681401319	-4.14664961751001	0.906065458324276	-4.57654530300607	4.72717376478424e-06	6.43763118685577e-05	depleted in ScmKD
CG9449	63.8287035464399	-3.09200474818186	1.03025710635506	-3.00119720515303	0.00268920343598916	0.0135066858204831	depleted in ScmKD
CG9452	9.0109451035316	-5.34550397246153	1.6548959486826	-3.23011484602213	0.00123740501637833	0.0072330278383165	depleted in ScmKD
CG9509	28.8302407839812	-4.6508936143776	1.0207726256594	-4.55624837252389	5.20753556261694e-06	7.00793320588174e-05	depleted in ScmKD
CG9510	54.4842140041551	-2.29183117155036	0.635789984195998	-3.60469845156265	0.000312515573855013	0.00235501986155202	depleted in ScmKD
CG9514	91.6241081463916	2.20465077256455	0.402722068647188	5.47437288443205	4.3906367329867e-08	8.85128165010173e-07	enriched in ScmKD
CG9518	29.7482004155624	-1.7909825366812	0.705205925454456	-2.53965894504791	0.0110960613600687	0.040612853605598	depleted in ScmKD
CG9541	11.1102728917108	-4.10351078252777	1.12688196310104	-3.64147347893956	0.000271082055150027	0.00208263415363198	depleted in ScmKD
CG9629	251.156649874197	-1.03562083682314	0.365184468662208	-2.83588412348687	0.00456990233260448	0.02035683766342	depleted in ScmKD
CG9686	107.602371198222	-2.06867235642731	0.52811692640709	-3.91707262727025	8.96307520211843e-05	0.000835982269079188	depleted in ScmKD
CG9701	23.9229826407594	-3.74021008227089	1.41419611569581	-2.64476053975769	0.00817487457439911	0.0322864984637182	depleted in ScmKD
CG9747	868.13008683825	1.43444687026489	0.472571366691985	3.03540792220667	0.00240210557330827	0.0123493791045432	enriched in ScmKD
CG9837	10.7380759967737	-3.67368257636148	1.04799504562467	-3.50543887750131	0.000455855158133713	0.00320632738629626	depleted in ScmKD
CG9902	319.879266760863	-1.85931240259712	0.156314844413224	-11.8946630409711	1.26161183193223e-32	3.6914762202337e-30	depleted in ScmKD
CG9925	333.609491041724	1.00690298856111	0.310851629456855	3.23917552023276	0.00119875778657516	0.00703926519054829	enriched in ScmKD
CG9932	2359.41629833993	1.07646446997922	0.278549260997773	3.86453895488103	0.000111299227118705	0.000999838056949697	enriched in ScmKD
CR30009	53.9331986143028	-1.62074899376695	0.597125807982714	-2.71425045124472	0.00664259257758174	0.0274191014054875	depleted in ScmKD
CR31044	103.233649235775	-1.56598246780272	0.358036810960167	-4.3738029718317	1.22100588446514e-05	0.000149038394073987	depleted in ScmKD
CR31451	59.1534207451826	-1.2084771481382	0.336655328566543	-3.58965697434174	0.00033111339183305	0.00246309859366347	depleted in ScmKD
CR32111	434.473302500815	-2.9503576337482	0.189960352612285	-15.5314390249105	2.12555914589216e-54	4.35357024261632e-51	depleted in ScmKD
CR33963	33.9336496615332	-1.19981142836087	0.424887595736536	-2.82383256277703	0.0047453167697341	0.0209468918270892	depleted in ScmKD
CR40469	399.601319399101	3.02435971497655	0.36719878791268	8.23630092073108	1.77616851085423e-16	1.13685885747864e-14	enriched in ScmKD
CR42491	1517.42503262429	-1.12348469321073	0.118401101709765	-9.48880269682552	2.33703039319566e-21	2.3464243388938e-19	depleted in ScmKD
CR42547	202.214114421548	-1.52251748934186	0.174599575221903	-8.72005265423385	2.78072446543053e-18	2.0786422810565e-16	depleted in ScmKD
CR42646	10.3851226464141	-2.25913583575617	0.852991467573433	-2.64848585435783	0.00808532328477468	0.0319945114989867	depleted in ScmKD
CR42862	21938.4572724951	-2.47489688055423	0.221150628143949	-11.1910009088615	4.51310050179518e-29	9.8337579231669e-27	depleted in ScmKD
CR43257	44.0171207182211	-1.39384989605875	0.340280335389852	-4.09618115152568	4.20021308020161e-05	0.00043536824042859	depleted in ScmKD
CR43283	460.596534161358	-3.11133179709237	0.897114981454266	-3.46815275790931	0.000524049304108176	0.00361399927499787	depleted in ScmKD
CR43314	10.7825259274675	-1.94572559292115	0.756808101758864	-2.57096295401592	0.0101416174955392	0.0377125289658014	depleted in ScmKD
CR43425	13.2187513206626	-1.53616946367216	0.617389682318725	-2.48816834434742	0.0128402937042271	0.04542226177029	depleted in ScmKD
CR43431	18.4384034584457	-1.97628680117464	0.586935935121394	-3.36712523959858	0.000759561851424246	0.00489371782354174	depleted in ScmKD
CR43461	16.0641312635389	-1.94197128718545	0.672125629170406	-2.88929807598975	0.00386102890023976	0.0178836711747424	depleted in ScmKD
CR43493	8.57956997505951	-2.28809118136211	0.747564433777246	-3.06072771520307	0.0022079978887647	0.0115544743887784	depleted in ScmKD
CR43650	20.7863252196866	-1.85990941297593	0.738313434585213	-2.51913256057819	0.0117644356648009	0.0424223893109951	depleted in ScmKD
CR43717	7.06732559699149	-2.49695705599341	0.937828451619311	-2.66248806131016	0.00775653210825268	0.0309324942837288	depleted in ScmKD
CR43724	18.1227660412164	-1.71004697002867	0.489363905533885	-3.49442807426315	0.000475078600460467	0.00332327865253801	depleted in ScmKD
CR43751	32.9786034723022	-1.27381493299591	0.386775524731156	-3.29342176933591	0.000989758804999468	0.00602623063139093	depleted in ScmKD
CR43767	37.1216442710179	-8.6710606245661	1.21688607047036	-7.12561416798411	1.03617601714397e-12	3.97439709262191e-11	depleted in ScmKD
CR43943	18.2137893752421	-1.42836963063624	0.496079785757848	-2.87931431927659	0.00398540905582503	0.018310710695695	depleted in ScmKD
CR43944	57.3064163742842	-1.65371590119545	0.333051095543241	-4.96535193345652	6.85765968029714e-07	1.12008441444853e-05	depleted in ScmKD
CR44024	177.286720857806	-2.68504866781497	0.329595604296078	-8.1464941668426	3.74626816627141e-16	2.29733726292129e-14	depleted in ScmKD
CR44029	47.0208040117658	-2.34206830765216	0.456945897634229	-5.1254827317148	2.9677636760231e-07	5.21318487241039e-06	depleted in ScmKD
CR44133	3.56074678038945	-3.54896877340206	1.31824293191777	-2.69219632244798	0.00709831469756592	0.0288010462827942	depleted in ScmKD
CR44299	10.2154143152184	-2.61926360076451	0.800080123727476	-3.27375161947741	0.00106129854349042	0.00635599905490376	depleted in ScmKD
CR44382	51.3053426902906	-2.01468844143713	0.32630122602018	-6.17432078331366	6.64485065129448e-10	1.78608702151986e-08	depleted in ScmKD
CR44498	18.7677540725656	-3.02660138345937	0.615016185940245	-4.92117354412756	8.60268042481515e-07	1.37656328485206e-05	depleted in ScmKD
CR44660	3.39202066393996	-4.27652112490272	1.63451078750787	-2.61639210801608	0.00888644435465155	0.0343371142095773	depleted in ScmKD
CR44662	5.20555113433351	-3.87685409780481	1.46336335384065	-2.64927646823318	0.0080664313934072	0.0319320927328501	depleted in ScmKD
CR44779	7.26916709136534	-3.8391830496132	1.51862548539673	-2.52806441517755	0.0114693306831836	0.0415484313853849	depleted in ScmKD
CR44831	28.2774036396369	-1.17172713198242	0.446134441200314	-2.62639918323705	0.00862935512398894	0.0336659907903888	depleted in ScmKD
CR44918	37.8619009102536	1.60089214515849	0.510828938224959	3.13391044509207	0.00172493491612837	0.00941592071916217	enriched in ScmKD
CR44957	14.0743774797687	-1.39560379222853	0.567690840159225	-2.45838701895752	0.0139562682130188	0.0482970810358081	depleted in ScmKD
CR45018	41.7437815732186	-1.0886304378981	0.290896905161157	-3.74232389064092	0.000182326304606337	0.0014937629483788	depleted in ScmKD
CR45102	313.053320206087	-1.08652625244074	0.221894022509715	-4.8965999180675	9.75090783174781e-07	1.54103467754521e-05	depleted in ScmKD
CR45108	3.59701253123566	-5.05763112452466	1.61267689155977	-3.13617138745813	0.00171169141785175	0.0093840641382333	depleted in ScmKD
CR45146	3.48235335143157	-6.05761308203071	2.18647632585518	-2.77049104552341	0.00559718392033224	0.0239135421477357	depleted in ScmKD
CR45169	4.71255699835563	-3.58190598173593	1.40105865733915	-2.55657103503331	0.0105709485402599	0.0389834656106596	depleted in ScmKD
CR45185	87.7013525376294	-2.177311193599	0.276937537652935	-7.86210209006644	3.77739962343969e-15	2.01480987206489e-13	depleted in ScmKD
CR45223	3.21403656761229	-5.69829670197998	2.20495617516384	-2.58431290660757	0.00975732267391697	0.0367235360174876	depleted in ScmKD
CR45232	125.274871708114	-3.13857451326345	0.352320980584546	-8.90828161313627	5.18296087826148e-19	4.21259542494252e-17	depleted in ScmKD
CR45267	28.9945743916651	-1.23365633869201	0.430601588860069	-2.86496002478269	0.00417061887842195	0.0189693977744749	depleted in ScmKD
CR45472	9.64245983419412	-2.27171781061229	0.747016497732561	-3.04105440443108	0.0023575122879237	0.0121567388422088	depleted in ScmKD
CR45479	34.4471998982465	-2.74054616015066	0.489254013475939	-5.60147915942532	2.12530343818057e-08	4.47844290337597e-07	depleted in ScmKD
CR45485	55.7747881929863	-1.56383999546126	0.332101250314033	-4.70892534726233	2.49026249546213e-06	3.61741534979116e-05	depleted in ScmKD
CR45520	3.23446868085776	-4.93547738211036	1.90588829052142	-2.58959426250533	0.0096089111501451	0.0363084321724808	depleted in ScmKD
CR45559	49.958544273277	1.18284316129594	0.398310869575132	2.96964821110116	0.00298140953730692	0.0145879670671573	enriched in ScmKD
CR45566	22.5763593836627	2.19574185676924	0.585792906297365	3.7483244217618	0.000178019893192019	0.00146433873588713	enriched in ScmKD
CR45600	311.211042443348	-1.41507436609367	0.213883101476541	-6.61611112016198	3.68771211971296e-11	1.18018311931189e-09	depleted in ScmKD
CR45732	34.7264301132886	-1.39406929004117	0.380748336738291	-3.66139298725129	0.000250847636401077	0.00195215280261141	depleted in ScmKD
CR45895	6.32073916417437	-5.32173766609567	1.43485949489852	-3.70889113883032	0.00020816889757371	0.00166551381254091	depleted in ScmKD
CR45916	33.6434783961664	-1.36409008100086	0.434324541929403	-3.14071609893641	0.00168535319505571	0.0092694425728064	depleted in ScmKD
CR45999	7.16362652124998	-1.94489337448599	0.785051757725845	-2.47740783374589	0.0132340583955608	0.0465020032201066	depleted in ScmKD
CR46003	47.13269819837	-2.22471169916516	0.492081556925614	-4.52102231399308	6.15416999778582e-06	8.12175965816038e-05	depleted in ScmKD
CR46006	329.511909927781	-1.91615579021019	0.247673976564126	-7.73660526144972	1.02106450838835e-14	5.07607846136169e-13	depleted in ScmKD
CR46194	43.3797932015243	-1.43170421445809	0.381133464396815	-3.75643796254921	0.000172348970331304	0.00142455674347287	depleted in ScmKD
CYTB	9950.97303407408	-1.11256618135111	0.302548143592223	-3.67731947762548	0.000235697767820379	0.00185532731763912	depleted in ScmKD
Ca-alpha1D	25.7921674850202	-1.60109387183784	0.552920832195199	-2.89570184122237	0.00378311653729548	0.0176184158519522	depleted in ScmKD
CaMKII	2775.23559579657	-1.00545649568191	0.085662542559893	-11.7374113076193	8.19567703128952e-32	2.33144245770655e-29	depleted in ScmKD
Cirl	14234.8263037347	-1.34942994080969	0.0803531173628947	-16.7937472135067	2.71169883335831e-63	9.25683591747417e-60	depleted in ScmKD
ClC-a	68.4091275850025	-1.12163401202849	0.355784686354456	-3.15256405080639	0.00161843311162191	0.0089834002688997	depleted in ScmKD
Cpr11A	39.5949349303975	2.14197185981811	0.844392318396855	2.5367022095663	0.0111902096761219	0.0408406761557962	enriched in ScmKD
Cpr64Aa	105.626014248757	4.29273852760932	1.4502151156919	2.96007018625044	0.00307568963052525	0.0149351055031811	enriched in ScmKD
Cpr65Ec	118.59142030439	1.2777889895089	0.361972487349626	3.53007213024646	0.000415446387249906	0.002973156150822	enriched in ScmKD
Cpr66D	541.351972153401	2.33566733815257	0.165039198561467	14.152197529502	1.81011143130672e-45	1.68521374254655e-42	enriched in ScmKD
Cpr92A	85.8098575055258	-1.69070132729075	0.312851324255841	-5.40416867760529	6.51096523624358e-08	1.26894580604873e-06	depleted in ScmKD
Cpr92F	4.37816270150475	-3.64693661856594	1.32601770764705	-2.75029254702582	0.00595420802050176	0.0251037646512798	depleted in ScmKD
Cpr97Ea	335.740580902187	-1.09510972686526	0.26864643030338	-4.07639783498541	4.5738737767835e-05	0.000470291579799596	depleted in ScmKD
Cyp12c1	33.5217159290647	-1.62170847537727	0.659069023322285	-2.46060491085204	0.0138703013500075	0.0481674317142851	depleted in ScmKD
Cyp28d1	63.1127851184783	-2.94788440735667	0.709108809758012	-4.15716793641677	3.22217132645244e-05	0.000348082875044298	depleted in ScmKD
Cyp4ac1	59.3528315425291	-2.58892826484676	0.648770022338269	-3.99051771152413	6.59292252420475e-05	0.000645488714821996	depleted in ScmKD
Cyp4d2	46.2355722622526	-2.27633916202924	0.513098169257185	-4.43645933355153	9.1450601729873e-06	0.000114772746607308	depleted in ScmKD
Cyp4e2	458.798070628967	-1.40452186044241	0.219984240290046	-6.38464763926075	1.71792570731306e-10	4.91432323145058e-09	depleted in ScmKD
Cyp4g1	95.4480204862882	-4.03282162408979	1.43477301288559	-2.81077326369489	0.00494226006034475	0.0216482828391747	depleted in ScmKD
Cyp4p2	120.033470087579	9.61525781410294	0.974720845136191	9.86462725413395	5.92541176291884e-23	7.31110142940384e-21	enriched in ScmKD
Cyp6a13	30.6449318438991	-1.4034702217296	0.522413056494251	-2.68651444347093	0.00722018265056426	0.0292031508127746	depleted in ScmKD
Cyp6a22	3.31305962862581	-5.8721462639061	2.12940375291043	-2.75764812374364	0.00582188299264346	0.0246386707871547	depleted in ScmKD
Cyp6d5	9.04008004331873	-6.00528381465792	1.85998817575557	-3.22866773721206	0.00124368299676144	0.00725316490309445	depleted in ScmKD
Cyp6g1	72.7232169101579	-3.89968160842077	1.21975141404419	-3.19711177500589	0.00138811125994226	0.00794129388456963	depleted in ScmKD
DNaseII	37.3507545551632	-1.87204983997709	0.714660505066185	-2.61949530820052	0.00880599840369479	0.0341340763256012	depleted in ScmKD
Dfd	439.418604282643	-1.10360515762275	0.248307668293143	-4.44450695062656	8.80936602234461e-06	0.000111104331816295	depleted in ScmKD
Dhc93AB	61.1847466093315	-1.03465486827509	0.263749832394899	-3.92286455267185	8.7502349072763e-05	0.000819864187423756	depleted in ScmKD
Dredd	662.367300998486	-1.5263948526391	0.117738064317434	-12.9643277345191	1.94931894157768e-38	9.9814876403485e-36	depleted in ScmKD
Drep3	13.7539188044572	-2.99522982355567	0.866771187005335	-3.4556176629545	0.000549033502061187	0.00374095282409089	depleted in ScmKD
Drs	20.0645487471852	-3.15058926337617	0.749263782331643	-4.20491332648139	2.61182226694133e-05	0.000289164019845904	depleted in ScmKD
Drsl2	7.54564022511896	5.46006434363912	1.95083288236286	2.79883755958935	0.0051286931193009	0.0222939882361202	enriched in ScmKD
Drsl5	13.9074234032696	-4.1749219051822	1.32076978575042	-3.160976235393	0.00157241326770489	0.00878989316297256	depleted in ScmKD
