geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_ScmKD_change
CG34446	18.7330834502796	-1.83118555397531	0.559684386906973	-3.27181818327134	0.00106858271546201	0.00825913629361999	depleted in ScmKD
CG3598	7.00098923881157	-3.90100463631137	1.43902519288777	-2.7108661165848	0.00671077167786437	0.0359064852419065	depleted in ScmKD
CG3726	110.24856563298	-1.13353350086051	0.262267179421511	-4.32205624569867	1.54581767307089e-05	0.000250771224081616	depleted in ScmKD
CG3940	238.902016448982	1.04108448331556	0.214833276667768	4.84601128588456	1.25968353456517e-06	2.84777463079071e-05	enriched in ScmKD
CG40485	12.1240976944065	-1.6076107451279	0.586810734256176	-2.73957283205744	0.00615190828052534	0.033600902773792	depleted in ScmKD
CG41284	4.7854115907731	-4.73627632818081	1.60993219362067	-2.94191044004723	0.0032619425111296	0.0203320470215936	depleted in ScmKD
CG41520	160.314990417228	-1.22883238683015	0.20322955093696	-6.04652414555265	1.48004060443114e-09	6.73648703554634e-08	depleted in ScmKD
CG42259	90.611108329346	-1.33256369863982	0.303784137457762	-4.38654799355709	1.15163763195279e-05	0.000196565349813809	depleted in ScmKD
CG42326	164.038860379479	1.26556647139331	0.389345817059325	3.25049458846626	0.00115204460957484	0.00876499667334879	enriched in ScmKD
CG42402	52.0951296664573	-2.31857256573426	0.440337418645284	-5.26544524166819	1.39850000694094e-07	4.13931750609312e-06	depleted in ScmKD
CG42460	60.7328463967196	3.10169643222759	1.14652203572615	2.70530904385377	0.00682408699924592	0.0363041428359883	enriched in ScmKD
CG42500	81.5658771364242	2.25830534960381	0.738770332734979	3.05684358120257	0.00223680967099501	0.014903817723266	enriched in ScmKD
CG42822	18.8463396785016	3.55130340984457	1.37831069099586	2.57656233318387	0.00997882116239287	0.0488028211671755	enriched in ScmKD
CG42867	7.49685996390871	-3.47353928574182	1.30715087186583	-2.65733616562844	0.00787608622871058	0.0408193315122596	depleted in ScmKD
CG4294	1152.37771128349	-1.19347613125844	0.114363738404076	-10.4357915184757	1.70189415002603e-25	6.22467785372022e-23	depleted in ScmKD
CG4302	6.42290716285111	-3.40086807538262	1.31866180264534	-2.57902979259747	0.00990782412628213	0.0485251204577979	depleted in ScmKD
CG43083	4.51219310132664	4.5062411682614	1.72310888527456	2.61518073916923	0.00891802504835746	0.044703619442109	enriched in ScmKD
CG43295	63.355360242801	-1.42306823637049	0.332235152107417	-4.2833162816871	1.84128141164494e-05	0.000287886457048181	depleted in ScmKD
CG43338	83.3690271444021	2.20009459833887	0.547934132059875	4.01525378619497	5.9381861893164e-05	0.000785697219183323	enriched in ScmKD
CG43672	26.1051405678054	-1.52770546122923	0.427591397478577	-3.57281617506295	0.000353162682463995	0.00325832345145385	depleted in ScmKD
CG43729	44.2247514412427	-1.07301112927238	0.401644637996399	-2.67154351823317	0.00755032815322341	0.0394706026631755	depleted in ScmKD
CG4382	387.324159271292	-3.82677167800484	1.25705081789901	-3.04424580415992	0.00233264465167151	0.0154319211096692	depleted in ScmKD
CG43897	260.350446699366	-1.12192046284167	0.325606334888856	-3.44563462877535	0.00056972009667992	0.00482589206790659	depleted in ScmKD
CG44013	33.5048129329497	-9.50352482670387	1.34314878610124	-7.07555627868284	1.48850435650856e-12	1.20029709566962e-10	depleted in ScmKD
CG44014	3.6900818392665	-6.46506851995965	1.87648472692468	-3.44530836153144	0.000570408272167617	0.00482772819443683	depleted in ScmKD
CG4462	49.3678563224317	2.01644663332877	0.473780702473712	4.25607590769413	2.08046098107007e-05	0.000318952109388302	enriched in ScmKD
CG4757	14.3647556486208	-8.52145553098307	2.16060398818378	-3.94401545937452	8.01284891952468e-05	0.000995868759524906	depleted in ScmKD
CG4835	7.65799561790281	2.2820165401412	0.862540836390911	2.64569101410866	0.00815242450581522	0.0418315643185376	enriched in ScmKD
CG4896	921.809236892114	-1.24833815913939	0.0971497827913902	-12.8496237796017	8.64295570166899e-38	8.04659175825383e-35	depleted in ScmKD
CG5096	36.4996980618838	-1.71698844646725	0.470765058981801	-3.64723000084343	0.00026508262471283	0.00258052391604952	depleted in ScmKD
CG5326	821.81127626937	-2.00382546396671	0.143905648524776	-13.9245782532415	4.49185106729843e-44	9.20020935604064e-41	depleted in ScmKD
CG5399	158.761155650404	-1.66512764833083	0.365323584218997	-4.55795278558488	5.16546452506156e-06	9.69438185664309e-05	depleted in ScmKD
CG5506	14.4828151797541	5.46507643350617	1.95206387957048	2.79964016070451	0.00511596011253425	0.0291231503682397	enriched in ScmKD
CG5618	202.49215203193	-1.66073356977474	0.315814141160736	-5.25857887069564	1.4517292012437e-07	4.25993087390738e-06	depleted in ScmKD
CG5756	164.332852321134	1.04214463833569	0.21546676141555	4.83668400401584	1.32023057994375e-06	2.95852984008838e-05	enriched in ScmKD
CG5888	694.889482547107	1.02919041137689	0.217097172854561	4.74069006907969	2.12991535633597e-06	4.5160379222022e-05	enriched in ScmKD
CG5953	208.233550092632	-1.29232035223585	0.23784788180805	-5.43339020895206	5.52933100629841e-08	1.83255271312304e-06	depleted in ScmKD
CG5964	19.2341417972444	-1.31093719990205	0.482198981959199	-2.71866438741874	0.00655460765221722	0.0353293352454508	depleted in ScmKD
CG5966	205.545845878615	-1.49242883438599	0.431821107054141	-3.45612757228857	0.000547995898356044	0.00466502576480819	depleted in ScmKD
CG5987	63.5262193431624	-1.57292735255751	0.309581734461225	-5.08081445856271	3.75820054999368e-07	9.81829893685848e-06	depleted in ScmKD
CG6041	85.925257807811	-1.92642026009342	0.283451502228979	-6.79629582113559	1.07343254768967e-11	7.28014749727808e-10	depleted in ScmKD
CG6293	61.0588057160741	1.1898047008767	0.241542475855203	4.92586116236528	8.3989620288567e-07	2.00498298688861e-05	enriched in ScmKD
CG6785	81.391901069463	-1.30441573374528	0.297807126259561	-4.38006890610261	1.1864178633328e-05	0.00020149428421876	depleted in ScmKD
CG6845	438.139304342825	-2.46583004006727	0.247385898077777	-9.96754487311974	2.11389535063787e-23	6.3671771429066e-21	depleted in ScmKD
CG6912	238.932535042449	-1.99327728083946	0.245211611100931	-8.12880463486295	4.33544391201914e-16	5.91990414706507e-14	depleted in ScmKD
CG7017	62.7241130361792	6.01962649756575	1.85991898792993	3.23649929735141	0.00121005524340826	0.00911189393216468	enriched in ScmKD
CG7054	244.584282378781	-1.27847877985614	0.230890550237127	-5.5371637277625	3.07409152546699e-08	1.07446318472039e-06	depleted in ScmKD
CG7059	21.9059843251117	-1.98721809102822	0.563451028379742	-3.52686922365313	0.000420504406072027	0.00374794223027295	depleted in ScmKD
CG7173	200.640121163896	-3.28987844187237	0.42921857762044	-7.6648090586182	1.79097442654463e-14	2.01553506618061e-12	depleted in ScmKD
CG7201	17.6967505539787	-2.49890043814863	0.953199201473333	-2.6215930880829	0.00875198573407726	0.0440437768563564	depleted in ScmKD
CG7252	6.16220258920326	7.49497432980438	2.05200250607618	3.65251714245525	0.000259682254576116	0.0025376011155668	enriched in ScmKD
CG7367	130.074884485918	1.33753043153047	0.26396725593064	5.06703161653472	4.04067190344844e-07	1.05026702952324e-05	enriched in ScmKD
CG7381	49.1475567402128	1.51635198327681	0.343965869189864	4.40843734539198	1.04119131394385e-05	0.000179811808534553	enriched in ScmKD
CG7432	97.0578789040509	-1.12057008565888	0.391671257705672	-2.86099646990423	0.00422311754306166	0.024956114690418	depleted in ScmKD
CG7512	11.7832194651665	-3.80455410074517	1.00210894979523	-3.79654737294043	0.000146725334274411	0.00163683458420942	depleted in ScmKD
CG7587	146.975891101639	4.63002828646246	1.30354639664943	3.55187072616922	0.000382502734990252	0.0034665579725975	enriched in ScmKD
CG7606	91.6479933062089	5.14498188561687	1.12434708361003	4.5759729896728	4.74011704741914e-06	8.98954420048508e-05	enriched in ScmKD
CG7708	7.48604674224688	3.56597135583462	1.34494628780663	2.65138570080005	0.00801622402568933	0.0413771787286765	enriched in ScmKD
CG7715	105.488596748257	6.00126861487149	1.48678069417625	4.03641817409828	5.42734426296732e-05	0.000728459142818458	enriched in ScmKD
CG7800	357.726845384512	-1.35918897123347	0.193749879674371	-7.01517324045729	2.29664207251015e-12	1.80922395881357e-10	depleted in ScmKD
CG7991	1144.4050294951	1.3007205886643	0.132382804887733	9.82544968560963	8.74827120620349e-23	2.48864015063139e-20	enriched in ScmKD
CG8079	581.642261530878	-1.03174546086541	0.142021381351074	-7.2647192348802	3.7381388599274e-13	3.27198974910397e-11	depleted in ScmKD
CG8172	192.11230790946	1.32387075144129	0.295072733484405	4.48659127466029	7.23717207981869e-06	0.000130946783161525	enriched in ScmKD
CG8249	58.2600964399786	-1.57026153572782	0.51845388198829	-3.02873908418973	0.00245576675567835	0.0160802476629808	depleted in ScmKD
CG8483	1555.16002427551	1.07036189842546	0.139821259213458	7.65521569786031	1.92988044265751e-14	2.14825061013647e-12	enriched in ScmKD
CG8539	22.3330938909222	-1.72923477127482	0.652240397630335	-2.65122304223615	0.00802008590727691	0.0413771787286765	depleted in ScmKD
CG8654	38.3935997740707	-1.42588577628242	0.438387194123541	-3.25257168867162	0.00114365742780575	0.00872092011776524	depleted in ScmKD
CG8665	109.810086052318	-4.35296347290841	1.40107156393122	-3.10688160759937	0.00189072103586489	0.0130565570656051	depleted in ScmKD
CG9008	547.242110360809	-1.16889761553039	0.275146716542355	-4.24827026911098	2.15427405398249e-05	0.000328791662993065	depleted in ScmKD
CG9040	29.2910128300631	17.7600995547632	2.40964029855979	7.37043597975107	1.70070923064446e-13	1.56909578657927e-11	enriched in ScmKD
CG9119	357.79691771205	2.09577859361814	0.651027029042018	3.21918829806816	0.00128554038483985	0.00951931965375625	enriched in ScmKD
CG9150	385.977004564621	1.54949152683717	0.230363035356916	6.72630278740878	1.74028240877848e-11	1.13994806131465e-09	enriched in ScmKD
CG9449	63.8287035464399	-3.53151936257295	1.02943890846628	-3.43052835241522	0.000602407015091258	0.00508594413977706	depleted in ScmKD
CG9451	11.9223276861031	-3.34909158028034	1.26045393372227	-2.65705194825333	0.00788272952248165	0.0408330971369422	depleted in ScmKD
CG9452	9.0109451035316	-4.69984888923708	1.67354046995686	-2.80832700111413	0.00497996311266326	0.0284756014722415	depleted in ScmKD
CG9521	22.5389120623186	-3.85195950000456	1.10891088615223	-3.47364206457592	0.000513445473289718	0.0044142877200691	depleted in ScmKD
CG9747	868.13008683825	1.41797082494555	0.472565719430873	3.00057910813603	0.00269466748089658	0.0173669538526506	enriched in ScmKD
CG9757	61.7310578051838	-5.84403770201542	1.90862243379986	-3.06191397445779	0.00219926648083023	0.0147399790773445	depleted in ScmKD
CG9812	113.842426758166	-1.89726878522957	0.389843948591495	-4.86673909415395	1.13454646863726e-06	2.59350231815048e-05	depleted in ScmKD
CG9902	319.879266760863	-1.74267695529882	0.157027382151011	-11.0979176461269	1.28400617130619e-28	6.57475360017334e-26	depleted in ScmKD
CG9925	333.609491041724	1.25312476756636	0.33223084314863	3.77184958413314	0.000162041932492515	0.00175791465111848	enriched in ScmKD
CR32111	434.473302500815	-2.96560410521	0.190014523099377	-15.6072496819572	6.49782754945005e-55	3.3272125966959e-51	depleted in ScmKD
CR42491	1517.42503262429	-1.0261066113581	0.118575694601686	-8.65359983599463	4.9899952659341e-18	8.24234540619856e-16	depleted in ScmKD
CR42547	202.214114421548	-1.14533961606313	0.177213913664145	-6.46303437682535	1.0262396667204e-10	5.90433731847392e-09	depleted in ScmKD
CR42862	21938.4572724951	-2.13869206461802	0.221166727452455	-9.67004435636814	4.04202851993598e-22	1.06139523263242e-19	depleted in ScmKD
CR43144	67.7529850061826	-1.06555309431254	0.288919237575968	-3.68806557587694	0.000225965421774643	0.00227542958150848	depleted in ScmKD
CR43257	44.0171207182211	-1.24601638759454	0.343348080810609	-3.62901806427117	0.00028450133428638	0.00274348226405539	depleted in ScmKD
CR43425	13.2187513206626	-1.79693675913387	0.612848146005836	-2.93210768580306	0.00336669986219879	0.0208472319051143	depleted in ScmKD
CR43468	62.1791122628907	-1.02046993295828	0.316872434479202	-3.22044400812422	0.00127992192427123	0.00949831914960993	depleted in ScmKD
CR43943	18.2137893752421	-1.51817362213748	0.496191371847705	-3.05965340849065	0.00221593267747475	0.0148225777596466	depleted in ScmKD
CR43944	57.3064163742842	-2.10005172984719	0.329073539704622	-6.38170948576479	1.75121949802189e-10	9.59050207446107e-09	depleted in ScmKD
CR44024	177.286720857806	-1.91204691321054	0.33268764651684	-5.74727355592916	9.06939370665839e-09	3.51816897537457e-07	depleted in ScmKD
CR44029	47.0208040117658	-2.04198635861751	0.460152695859609	-4.43762772008297	9.09557533086471e-06	0.000160599632695492	depleted in ScmKD
CR44054	10.0534966179563	-2.1442282016619	0.743863793452764	-2.88255487165079	0.0039446442604771	0.0236959611083405	depleted in ScmKD
CR44119	48.2247615708903	-1.22875211402531	0.379279595513614	-3.23970002225234	0.00119655509622958	0.00903015529881147	depleted in ScmKD
CR44291	38.9408393557324	1.62412605236289	0.365490299823531	4.44369126389144	8.84284729933491e-06	0.000156949045394261	enriched in ScmKD
CR44299	10.2154143152184	-3.16081900482794	0.790112536812471	-4.00046684182425	6.32176451732402e-05	0.000822632661015442	depleted in ScmKD
CR44320	15.2308746726401	2.78857911183753	0.741002708536503	3.76325090274641	0.000167718779760576	0.00180421010874796	enriched in ScmKD
CR44334	60.1138243596907	-4.53928002290576	0.882100184962232	-5.14599146479049	2.6611152201513e-07	7.24800025786423e-06	depleted in ScmKD
