geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_toySfmbtKD_change
CG31313	27.5620857200257	-3.61196045984354	1.07375116124812	-3.36387106268182	0.000768574409589708	0.014481331389727	depleted in toy-SfmbtKD
CG31321	29.8886185812672	-2.4304034086927	0.790031506813901	-3.07633732038639	0.00209560621011936	0.0302111529283057	depleted in toy-SfmbtKD
CG31373	18.8084793019935	-1.95010938811204	0.659483759913903	-2.9570241250014	0.00310623813252197	0.0409998845855967	depleted in toy-SfmbtKD
CG31760	41.745083081121	2.0764632442923	0.454431060945101	4.56936909192296	4.89194609520359e-06	0.000209162054198769	enriched in toy-SfmbtKD
CG31875	58.5316934719815	2.55222758369115	0.284661887357845	8.96582119714105	3.07977300951488e-19	1.06252168828263e-16	enriched in toy-SfmbtKD
CG32115	10.5682555614857	-5.44220636253942	1.80680692158134	-3.01205751291695	0.00259483430172792	0.0360073747417307	depleted in toy-SfmbtKD
CG32368	15.6026438978662	-4.02524547892664	0.650742806358765	-6.18561655940527	6.18602065342464e-10	6.06775849387387e-08	depleted in toy-SfmbtKD
CG32373	284.674884143357	-1.61961500200922	0.461152320346618	-3.51210420190851	0.000444573653443219	0.00936412505831454	depleted in toy-SfmbtKD
CG32603	52.8622407982661	-3.936130489532	1.32627545578092	-2.96780768457665	0.0029993192630043	0.0400584173931401	depleted in toy-SfmbtKD
CG3270	7.61151638129974	-2.58847180855455	0.877603338845518	-2.9494780773734	0.00318311155049631	0.0417392281293782	depleted in toy-SfmbtKD
CG33509	110.74846476401	3.74148347555621	0.406091646831576	9.21339679047367	3.15964476973727e-20	1.26448983684886e-17	enriched in toy-SfmbtKD
CG33914	35.716007987104	5.68442233488466	0.723672021141265	7.8549704407807	3.99866442903497e-15	9.52538990773687e-13	enriched in toy-SfmbtKD
CG34113	130.714744818567	1.01055492777719	0.173902339444807	5.81104849424937	6.20827748419084e-09	4.89085167160074e-07	enriched in toy-SfmbtKD
CG34120	321.391384239675	-1.01009804875275	0.256170645392924	-3.9430671191987	8.04461292360905e-05	0.00232619515319967	depleted in toy-SfmbtKD
CG34461	5.6671889860577	-6.09868098684737	1.65407873997699	-3.68705602668722	0.000226863422874542	0.00546932179725252	depleted in toy-SfmbtKD
CG3788	393.817805118741	1.06450225271823	0.166607051237411	6.38929892109633	1.66648013232699e-10	1.8946742868104e-08	enriched in toy-SfmbtKD
CG42299	9.39715440229689	2.65126774274868	0.902706365480607	2.93702121103038	0.00331381437350689	0.0429626931057975	enriched in toy-SfmbtKD
CG42854	24.9763187011189	4.16164137083695	0.709211600583058	5.867982654846	4.41129386751088e-09	3.58821098735336e-07	enriched in toy-SfmbtKD
CG43338	83.3690271444021	3.50254099883849	0.540894312258821	6.4754628019873	9.45217723028565e-11	1.08700038148285e-08	enriched in toy-SfmbtKD
