geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_toyScmKD_change
CG43897	260.350446699366	-1.25415651378674	0.328281593503331	-3.82036805780893	0.000133252674818293	0.00115932040591496	depleted in toy-ScmKD
CG44013	33.5048129329497	-9.06700974231906	1.34314878610124	-6.7505624366738	1.47273126125713e-11	5.77785017290954e-10	depleted in toy-ScmKD
CG44014	3.6900818392665	-6.02855380074188	1.87648472692468	-3.21268471533041	0.0013150055816742	0.00815467586890448	depleted in toy-ScmKD
CG4409	31.5087163194905	-2.62846832350813	0.833976099545977	-3.15173099677447	0.00162305725160554	0.00968747846756014	depleted in toy-ScmKD
CG44102	10.1724547000365	-5.87121568307848	1.32643019030125	-4.42632844608659	9.58505453957591e-06	0.000118540078278699	depleted in toy-ScmKD
CG44245	347.064949700755	-1.24871474870437	0.300791299797259	-4.15143240361685	3.30400854177406e-05	0.000354605424949624	depleted in toy-ScmKD
CG44422	23.0214308536353	-1.16880253061786	0.458196215543303	-2.5508777483724	0.0107452009625877	0.0441569164704222	depleted in toy-ScmKD
CG4462	49.3678563224317	1.54787780277213	0.481437769725047	3.21511501612376	0.00130392266281326	0.00810118024494004	enriched in toy-ScmKD
CG44837	20.5384143765223	-6.2557001789833	1.57760450629016	-3.96531586594792	7.32988177822522e-05	0.000699276062175857	depleted in toy-ScmKD
CG4607	61.798162205176	-1.94908476959993	0.675390692676811	-2.88586264325767	0.00390342474104994	0.0198294734056732	depleted in toy-ScmKD
CG4630	20.487707804657	-2.39251794037031	0.785613204608834	-3.04541462176871	0.00232359739545463	0.0130897301944448	depleted in toy-ScmKD
CG4757	14.3647556486208	-6.07018482320096	2.05351860431145	-2.95599212515356	0.00311665048294905	0.0166906512315395	depleted in toy-ScmKD
CG4847	11.0749515535822	-4.49618006461526	1.63281490311387	-2.75363732658294	0.00589370385142807	0.0275855888488423	depleted in toy-ScmKD
