geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	res_PcKD_v_SfmbtKD_change
CG14277	10.552187438053	-7.7734909054087	1.54362282131475	-5.03587456603408	4.75671984819836e-07	1.36284905914657e-05	depleted in SfmbtKD
CG14298	5.30898618498731	-4.29449164227454	1.48626623057987	-2.88944978626006	0.0038591663616638	0.0227406847728923	depleted in SfmbtKD
CG14304	99.5902228787007	-1.15405790755351	0.272926205103201	-4.22846134220468	2.35294934382411e-05	0.000376857624412485	depleted in SfmbtKD
CG1441	9.30222979195057	-4.88806754978959	1.61119854403398	-3.03380832107213	0.00241487809196358	0.0159092103563615	depleted in SfmbtKD
CG14516	2964.89766959798	1.12271358467846	0.0926458493692223	12.1183365722526	8.44558797375881e-34	8.25133945036236e-31	enriched in SfmbtKD
CG14545	5.39543550569581	4.48606928992982	1.27019037903428	3.5318085886783	0.000412727988230915	0.00389599270049859	enriched in SfmbtKD
CG14629	547.351763551346	1.40062168442175	0.353801696229536	3.95877605830659	7.53348313603877e-05	0.000980054996525949	enriched in SfmbtKD
CG14879	46.2779376733831	-2.18689445863179	0.471172864578546	-4.64138455975795	3.46082351017077e-06	7.54737627106438e-05	depleted in SfmbtKD
CG1503	18.1974656289802	2.6896236663537	0.755555116590756	3.5597980971791	0.000371140027846328	0.00357593233630386	enriched in SfmbtKD
CG15083	844.316179731631	-1.02457452847821	0.131525018940945	-7.78995917832369	6.70308478009142e-15	1.01395502440265e-12	depleted in SfmbtKD
CG15201	83.5157511883919	-2.73163067539607	0.740902335260664	-3.68689710558819	0.000227005089088764	0.00239766456259159	depleted in SfmbtKD
CG15212	104.306727311493	-1.64959981316688	0.477178232947846	-3.45698881312379	0.00054624752490893	0.00489618194344976	depleted in SfmbtKD
CG15247	13.2790164419147	-1.83142012297154	0.553053067135168	-3.31147268101839	0.000928063010642643	0.00761307776152697	depleted in SfmbtKD
CG15279	123.60310800263	-1.16359768111638	0.36957348496859	-3.14848799614311	0.00164117463595717	0.0118596717406076	depleted in SfmbtKD
